method,mean_a_config1,mean_a_config2,mean_a_config3,mean_a_config5,L0_slope_config1_to_2,L1_slope_config3_to_5,super_additive_L1_gt_L0
chain_rule,0.0023824924203502654,0.012883362115441999,0.030876504746239295,0.04064925468185037,0.010500869695091734,0.009772749935611075,False
finite_difference,0.0023824924202136186,0.012883362116087356,0.030876504745470424,0.04064925468075832,0.010500869695873737,0.009772749935287896,False
