depth,budget,best_single_intervention_config,config8_rms_SNR_est,best_single_rms_SNR_est,config8_exceeds_best_single_SNR,config8_final_energy,baseline_final_energy,config8_energy_improves_on_baseline,config8_global_fidelity,baseline_global_fidelity,config8_fidelity_improves_on_baseline,config8_cost_normalized_SNR,best_single_cost_normalized_SNR,cost_normalized_advantage_remains,label
1,250,3,2.411554239434448,2.5640184081327444,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.009646216957737793,0.010256073632530978,False,exploratory
1,500,3,3.467548991007504,3.6127742022512215,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.006935097982015008,0.007225548404502443,False,exploratory
1,1000,3,4.872046986378736,5.023355867865847,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.004872046986378736,0.005023355867865847,False,exploratory
1,2000,3,6.737539641738767,7.432603003211865,False,0.15097243650434766,0.13435544892917903,False,0.03378536866073165,0.046720832118519864,False,0.0033687698208693835,0.0037163015016059326,False,exploratory
2,250,3,1.224513293888515,1.3702202038166178,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.00489805317555406,0.005480880815266471,False,exploratory
2,500,3,1.8268585418916314,2.0244186978912952,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.0036537170837832628,0.00404883739578259,False,exploratory
2,1000,3,2.504500333318015,2.8838187164357953,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.0025045003333180153,0.0028838187164357955,False,exploratory
2,2000,3,3.735827939614766,4.092762051922174,False,-0.23059863497219524,-0.13630277378988237,True,0.07882479709701452,0.0817185084866797,False,0.001867913969807383,0.002046381025961087,False,exploratory
3,250,3,0.9170604901398004,0.8513000100487877,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0036682419605592017,0.003405200040195151,True,exploratory
3,500,3,1.4074715693695743,1.295426555368567,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0028149431387391485,0.002590853110737134,True,exploratory
3,1000,3,2.0223300530870065,1.856806584061469,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0020223300530870067,0.001856806584061469,True,exploratory
3,2000,3,2.8465968459476154,2.687792704733179,True,-0.1710712355015709,-0.18535547958932067,False,0.0700757715795243,0.07382416056180402,False,0.0014232984229738078,0.0013438963523665895,True,exploratory
4,250,3,0.5046997999873435,0.5730699580664275,False,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.002018799199949374,0.00229227983226571,False,exploratory
4,500,3,0.8026009928166574,0.8839036605315135,False,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0016052019856333149,0.001767807321063027,False,exploratory
4,1000,3,1.1775782827605596,1.2795308789215099,False,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0011775782827605596,0.0012795308789215099,False,exploratory
4,2000,3,1.7758460004116798,1.8278182880909972,False,0.3627695829415697,-0.2532306434038072,False,0.051740880816428636,0.0644346017280046,False,0.0008879230002058399,0.0009139091440454986,False,exploratory
6,250,3,0.2973737800444573,0.41582027836180546,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0011894951201778291,0.0016632811134472218,False,exploratory
6,500,3,0.4671898060664294,0.5906348757275763,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0009343796121328588,0.0011812697514551526,False,exploratory
6,1000,3,0.7155679067273999,0.8801252327927712,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0007155679067273999,0.0008801252327927712,False,exploratory
6,2000,3,1.0336688922580062,1.2824092370812241,False,-0.07245878574322777,0.3016971766102031,True,0.05242206975540132,0.05237654172606783,True,0.0005168344461290031,0.0006412046185406121,False,exploratory
