depth,original_estimate,original_ci95_lo,original_ci95_hi,replication_estimate,replication_ci95_lo,replication_ci95_hi,difference,se_difference_independent_approx,difference_ci95_lo,difference_ci95_hi,same_sign,interval_overlap,original_n_zero_variance,replication_n_zero_variance,label
1,-0.0822644632611654,-0.1229370507277579,-0.0415918757945729,0.1332233527677039,0.0932452571459698,0.1732014483894379,0.2154878160288693,0.029097860828591438,0.15845705677767125,0.27251857528006734,False,False,165,126,"post-run approximate comparison, not a confirmatory test"
2,-0.1177160372473593,-0.1461411625097372,-0.0892909119849814,0.0479488397319657,0.0198342525139388,0.0760634269499926,0.165664876979325,0.020398444783221142,0.12568465986358263,0.20564509409506737,False,False,84,133,"post-run approximate comparison, not a confirmatory test"
3,0.0928186533774162,0.0696469083154511,0.1159903984393812,0.0766633464696114,0.0537699943391256,0.0995566986000972,-0.016155306907804798,0.01661945713864519,-0.04872884434215647,0.016418230526546874,True,True,79,123,"post-run approximate comparison, not a confirmatory test"
4,0.0373404802849374,0.0172840721163999,0.0573968884534748,0.027226257430534,0.0074260959061924,0.0470264189548756,-0.010114222854403401,0.014379566863544678,-0.03829765602023656,0.018069210311429756,True,True,79,104,"post-run approximate comparison, not a confirmatory test"
6,0.0192678910211575,0.0028958851433703,0.0356398968989447,0.0206735949019049,0.0045212420863498,0.0368259477174599,0.0014057038807473998,0.011734255951335293,-0.021593015169244563,0.024404422930739363,True,True,102,99,"post-run approximate comparison, not a confirmatory test"
