depth,estimate,se,ci95_lo,ci95_hi,p_unadjusted,n_obs_eligible,n_zero_variance,sign,ci_excludes_zero
1,-0.10292807133944037,0.020513254410666707,-0.14313331119005454,-0.06272283148882621,5.231080380090376e-07,6400,165,negative,True
2,-0.13525453683625688,0.01450506129798734,-0.16368393457385788,-0.10682513909865589,1.1135649714916731e-20,12800,84,negative,True
3,0.08704505417151845,0.011843332955953844,0.06383254812093261,0.11025756022210428,1.986384111267557e-13,19200,79,positive,True
4,0.03417034313656081,0.010256627205333447,0.014067723211253547,0.054272963061868074,0.0008636751219832593,25600,79,positive,True
6,0.017138336063678053,0.008374501045005069,0.0007246156269750739,0.03355205650038103,0.04070814519679448,38400,102,positive,True
