depth,estimate,se,ci95_lo,ci95_hi,p_unadjusted,n_obs_eligible,n_zero_variance,sign,ci_excludes_zero
1,-0.06882824206782337,0.08183581937198336,-0.22922350068223604,0.0915670165465893,0.40031837586756225,6235,165,negative,False
2,-0.12095202021673071,0.0738375013516843,-0.2656708635744595,0.023766823140998095,0.10140419858302051,12716,84,negative,False
3,0.09075847522799868,0.04367283739061765,0.005161286839713855,0.17635566361628352,0.03769603434770228,19121,79,positive,True
4,0.03608166037557609,0.03270045821130105,-0.028010059996531035,0.10017338074768323,0.2698538314014318,25521,79,positive,False
6,0.018122487757964365,0.017957851700129805,-0.017074254814001433,0.05331923032993016,0.3128941113127931,38298,102,positive,False
