depth,estimate,se,ci95_lo,ci95_hi,p_unadjusted,n_obs_eligible,n_zero_variance,sign,ci_excludes_zero
1,-0.08226446326116543,0.020751701453400502,-0.1229370507277579,-0.041591875794572956,7.363403968709613e-05,6235,165,negative,True
2,-0.11771603724735932,0.014502881423634146,-0.14614116250973724,-0.08929091198498142,4.788950842324069e-16,12716,84,negative,True
3,0.09281865337741622,0.011822536151041977,0.06964690831545116,0.11599039843938129,4.127546615378643e-15,19121,79,positive,True
4,0.03734048028493743,0.010233049345161352,0.017284072116399995,0.05739688845347486,0.0002632547707223517,25521,79,positive,True
6,0.019267891021157557,0.008353217715696555,0.0028958851433703685,0.03563989689894474,0.02107473130277221,38298,102,positive,True
