coefficient,estimate,se,ci95_lo,ci95_hi,converged,n_obs,log_likelihood,zero_variance_by_depth
E:L,0.01148558179188325,0.007836439478916157,-0.003873557353820247,0.026844720937586747,True,101891,-58492.24994824722,"{""1"": 165, ""2"": 84, ""3"": 79, ""4"": 79, ""6"": 102}"
E:L:depth_z,0.024952208146283978,0.005364491117054039,0.014437998761473019,0.03546641753109494,True,101891,-58492.24994824722,"{""1"": 165, ""2"": 84, ""3"": 79, ""4"": 79, ""6"": 102}"
