estimand,estimate,se,ci_lo,ci_hi,p_raw_descriptive,weight_D1,weight_D2,weight_D3,weight_D4,weight_D6
equal_depth,0.002373534380704468,0.0012944723776442725,-0.00016358485846023783,0.004910653619869174,0.06671455943068862,0.2,0.2,0.2,0.2,0.2
observation_weighted,0.004042796799656257,0.0010787269813702272,0.0019285307670190025,0.006157062832293512,0.0001784294422019999,0.0625,0.125,0.1875,0.25,0.375
parameter_weighted,0.004042796799656257,0.0010787269813702272,0.0019285307670190025,0.006157062832293512,0.0001784294422019999,0.0625,0.125,0.1875,0.25,0.375
