depth,1,2,3,4,6
1,1.8618430405377944e-05,-1.6940658945086007e-21,1.2705494208814505e-21,2.117582368135751e-21,8.470329472543003e-22
2,-8.470329472543003e-22,9.309215202688975e-06,8.470329472543003e-22,6.352747104407253e-22,2.117582368135751e-22
3,8.470329472543003e-22,0.0,6.206143468459316e-06,2.117582368135751e-22,1.4823076576950256e-21
4,5.293955920339377e-22,5.293955920339377e-22,2.117582368135751e-22,4.654607601344488e-06,8.470329472543003e-22
6,-1.2705494208814505e-21,1.2705494208814505e-21,1.2705494208814505e-21,4.235164736271502e-22,3.1030717342296583e-06
