depth,estimate,se,ci_lo,ci_hi,p_raw,p_holm_within_dataset,n_rows,n_matched_parameters_per_initialization,n_initialization_clusters,contrast_expression,contrast_vector_nonzero
1,-0.0052507033508733154,0.004314907925480907,-0.013707767481422332,0.003206360779675701,0.22365179916888445,0.4473035983377689,1600,4,50,"E_c:L_c at D=1, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=1"
2,-0.003579498162244444,0.003051100654303128,-0.009559545557885168,0.0024005492333962807,0.24072259291420173,0.4473035983377689,3200,8,50,"E_c:L_c at D=2, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.2]=1"
3,0.012588306296151385,0.0024912132523048514,0.007705618043824982,0.017470994548477788,4.347358095557703e-07,2.173679047778852e-06,4800,12,50,"E_c:L_c at D=3, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.3]=1"
4,0.004663936570762056,0.002157453962740454,0.00043540450548754713,0.008892468636036564,0.03063528994990474,0.12254115979961896,6400,16,50,"E_c:L_c at D=4, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.4]=1"
6,0.003445630549726658,0.0017615537840865543,-6.951423913234642e-06,0.0068982125233665505,0.050463057792848494,0.1513891733785455,9600,24,50,"E_c:L_c at D=6, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=-1;E_c:L_c:C(depth, Sum)[S.2]=-1;E_c:L_c:C(depth, Sum)[S.3]=-1;E_c:L_c:C(depth, Sum)[S.4]=-1"
