coefficient,n_attempted,n_successful,n_failed,n_rejected,n_successful_excluded_after_target_revision,fit_failure_rate_pct,median,ci_lo,ci_hi,width,includes_zero,ci_lo_mc95_lo,ci_lo_mc95_hi,ci_lo_mc95_rank_lo,ci_lo_mc95_rank_hi,ci_hi_mc95_lo,ci_hi_mc95_hi,ci_hi_mc95_rank_lo,ci_hi_mc95_rank_hi
E_c:L_c,1178,1000,0,0,178,0.0,0.01527985832693721,-0.016239720360808858,0.04599223007362217,0.06223195043443103,True,-0.02109204608183235,-0.013713453412897258,16,36,0.043913002197251826,0.04866687431912914,965,985
E_c:R_c,1178,1000,0,0,178,0.0,-0.011418042885588727,-0.03137523076780777,0.009562515160802998,0.04093774592861077,True,-0.034250574077580045,-0.029973244915897264,16,36,0.007510946912011165,0.011888073329926682,965,985
L_c:R_c:depth_z,1178,1000,0,0,178,0.0,-0.010425963897479133,-0.025964052587878452,0.005863030737205194,0.03182708332508365,True,-0.028445865824868632,-0.02471650977323254,16,36,0.004481958020197629,0.0071291211313173584,965,985
