config_name,config_label,mean_of_seed_means,median_of_seed_means,std_of_seed_means,n_seeds
baseline,Baseline (HEA),11.241636933169291,11.292126529390359,2.533143602339423,50
combined,Combined (A+B+C),9.503716477100367,10.044497308934352,3.0459998560654857,50
entanglement_local,Entanglement + local cost,11.159239727701477,9.673497845634087,6.479100247766202,50
entanglement_only,Constrained entanglement only,14.135420414146738,13.89276417852817,2.837099738459236,50
entanglement_residual,Entanglement + residual,10.696868411779388,10.757516211510096,2.686360496641079,50
local_cost_only,Local cost function only,10.234414987528833,9.665385529769825,3.466267851114911,50
residual_only,Residual connections only,8.167858580261782,8.092451744877351,2.703438702533219,50
