task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_active_params,n_deterministic_nonzero_params,n_inactive_zero_params,operationally_resolvable_fraction,deterministic_nonzero_labels,inactive_zero_labels,n_circuit_theta_params,n_residual_alpha_params,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),25,3,sum,11.060974723206364,10.391371160571786,9.160360492167632,2.4828985501285645,36.6663049717372,12,12,0,0,1.0,,,12,0,0.45224113593771603
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),26,3,sum,10.985020173478233,7.538811865918895,9.683414547499165,1.3013351931377273,32.25242483672454,12,12,0,0,1.0,,,12,0,0.466005576343638
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),27,3,sum,10.086121367627285,10.032196974422035,7.0584541227923205,0.7475337599249595,22.461588540398264,12,12,0,0,1.0,,,12,0,0.41881265058408096
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),28,3,sum,11.554325995791139,7.440090622558634,10.435672196206248,0.24241465882105784,33.4525458773925,12,12,0,0,1.0,,,12,0,0.48252670495154554
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),29,3,sum,16.96355135604854,16.382369265837614,8.140274818866574,1.281452949232367,29.43826916666061,12,12,0,0,1.0,,,12,0,0.6414481588923646
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),30,3,sum,12.054699182290813,10.486450309470651,9.376909140077759,0.016035419862646078,27.305639387119033,12,12,0,0,1.0,,,12,0,0.4757606256731091
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),31,3,sum,6.6825211461047,4.335003395336033,5.072116098890872,0.7983465216118859,14.690145685361413,12,12,0,0,1.0,,,12,0,0.2719264870506993
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),32,3,sum,13.42164027055363,11.093008886901943,10.30121564762813,1.4212630335106715,38.97515598814989,12,12,0,0,1.0,,,12,0,0.6008109258878457
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),33,3,sum,13.778613089007166,9.702748877323572,11.265225928072027,2.6444513752258683,46.62446086633724,12,12,0,0,1.0,,,12,0,0.49146752645876396
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),34,3,sum,11.197842760108571,7.212398896934191,9.769037882149833,1.2986012689225968,32.67213636367313,12,12,0,0,1.0,,,12,0,0.43402671428353595
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),35,3,sum,11.386410298672148,9.799238038307461,8.178710131798995,1.0784496956646152,30.01172311666299,12,12,0,0,1.0,,,12,0,0.4042356677539976
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),36,3,sum,9.492514762808293,6.565141335035439,8.656020677194709,0.2663257780105039,22.42778163826183,12,12,0,0,1.0,,,12,0,0.45530462629777246
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),37,3,sum,11.47556231249181,12.217648691250336,5.714265591562083,1.7907118206478574,20.874335943911678,12,12,0,0,1.0,,,12,0,0.44985448711573817
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),38,3,sum,11.177770927039193,10.21866053176368,6.36014817727514,5.292751007749888,28.8871406616903,12,12,0,0,1.0,,,12,0,0.39631420715083343
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),39,3,sum,12.015204090591704,7.557655228485463,14.356371998945892,1.9383341095423667,55.7522954140806,12,12,0,0,1.0,,,12,0,0.4399739295238679
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),40,3,sum,10.52905695236833,2.74498140692251,13.667004682412664,0.5007770962611805,46.14245759244641,12,12,0,0,1.0,,,12,0,0.4517181892465128
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),41,3,sum,7.645719587522238,4.430050571124754,8.885511140083217,1.1646748399065703,34.04735763527127,12,12,0,0,1.0,,,12,0,0.30824662583149076
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),42,3,sum,10.800234572518184,9.596569467425509,5.558562147221497,4.146986071354607,20.529080890536104,12,12,0,0,1.0,,,12,0,0.44603349393386543
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),43,3,sum,13.147870363332261,13.940951826420795,11.947292328466526,0.06050521454965078,34.354431142766295,12,12,0,0,1.0,,,12,0,0.5579852679431835
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),44,3,sum,8.939161981740284,7.398192718732343,5.41859494099645,1.1969695702218148,21.652673794595444,12,12,0,0,1.0,,,12,0,0.39119446730938573
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),45,3,sum,12.55610231887191,10.19136038653395,11.321208028090396,0.4184850567301698,37.727700211426246,12,12,0,0,1.0,,,12,0,0.466200048139227
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),46,3,sum,14.740394170834188,14.933640524875237,9.775580524192508,0.7242902966222226,28.821923912463106,12,12,0,0,1.0,,,12,0,0.6132045516494138
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),47,3,sum,9.506915275342658,5.194249971188503,11.570518154678563,0.8433496798125188,42.60810777579768,12,12,0,0,1.0,,,12,0,0.34457784169423533
tfim_h0.5,"TFIM (J=1, h=0.5)",4,1,baseline,Baseline (HEA),48,3,sum,9.20259342350398,4.058321195030739,13.07340993927741,0.35348954548566547,49.894097400757,12,12,0,0,1.0,,,12,0,0.27872905837659095
