n_qubits,config_name,mean_of_mean_snr,median_of_mean_snr,mean_median_ratio,max_n_deterministic_nonzero_params
4,local_and_residual,68.28657551818907,10.195611866362995,6.6976436935067865,1
4,local_cost_only,68.28657551818907,10.195611866362999,6.697643693506784,0
4,residual_only,19.7734101484105,20.839928083385658,0.9488233389910099,1
6,local_and_residual,45.52438367878906,6.79707457757533,6.697643693506248,1
6,local_cost_only,45.52438367878904,6.797074577575331,6.6976436935062456,0
6,residual_only,15.795688666976984,16.197296019242845,0.9752052841542971,1
10,local_and_residual,27.31463020727564,4.078244746545196,6.697643693506793,1
10,local_cost_only,27.31463020727563,4.0782447465452005,6.697643693506783,0
10,residual_only,12.15383470568516,12.342937192896644,0.9846792960009298,1
