config_id,config_name,config_label,seed,L,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,mean_abs_grad
1,baseline,Baseline (HEA),0,3,6.946875183013695,6.834149344794212,3.8673998574748136,0.966367709443014,13.06516809316529,12,12,0.26235726266698384
1,baseline,Baseline (HEA),1,3,9.886473132275361,7.045127286064259,10.23096456848853,2.2343023780757343,39.1983357444595,12,12,0.4033784866254913
1,baseline,Baseline (HEA),2,3,12.874208220563213,15.044970082759622,7.215293633095896,0.9403722363742285,22.411970973314855,12,12,0.5170476266973036
1,baseline,Baseline (HEA),3,3,6.749950244535978,6.945258828134307,3.3643585739941457,0.7719040020327282,12.859950272749442,12,12,0.2805667984297356
1,baseline,Baseline (HEA),4,3,12.74571391310405,14.359762652306655,6.635572082052133,0.3844754980763431,20.55346500104414,12,12,0.5135650974679643
1,baseline,Baseline (HEA),5,3,10.336957607138267,4.452504841980842,10.883502157325825,0.16906241487172655,37.29888680165088,12,12,0.4176409361428118
1,baseline,Baseline (HEA),6,3,15.778903841182272,4.145613678511857,22.613053409791874,0.17450482982411053,77.956772471689,12,12,0.580601876236465
1,baseline,Baseline (HEA),7,3,12.34517105530005,9.312041580796597,7.74148817867353,5.156914761816693,29.729504157838445,12,12,0.35602801104040593
1,baseline,Baseline (HEA),8,3,11.026922182957042,8.302408351203589,10.627546993840571,0.9434856777752766,42.74358103730994,12,12,0.43778567370403976
1,baseline,Baseline (HEA),9,3,13.632057243162018,14.082038795601232,7.994840233960033,0.27594960584427675,25.411457149695202,12,12,0.6135449770621056
1,baseline,Baseline (HEA),10,3,11.590737614560355,9.626636925787754,9.872993144686223,0.9873274552839993,33.91306807658877,12,12,0.39573091988021303
1,baseline,Baseline (HEA),11,3,11.925195646250542,11.258345710924328,9.414143540790485,0.5760924010648876,36.07872285493388,12,12,0.5457284781681365
1,baseline,Baseline (HEA),12,3,14.261427921821214,11.278456855636994,10.737068126669481,1.727725367330755,34.80665212519095,12,12,0.6253611558241396
1,baseline,Baseline (HEA),13,3,9.940110872154895,5.941391409018827,8.985683592344822,0.6260981884556999,29.824350244158488,12,12,0.2964272201518346
1,baseline,Baseline (HEA),14,3,16.13398267439975,7.006915175923526,27.58750986793903,0.2349026860972774,103.57918923637592,12,12,0.517764598910462
1,baseline,Baseline (HEA),15,3,11.501371578720795,12.636438002563214,7.0040028336704765,0.005507552755996131,20.77079509973198,12,12,0.42499899938710656
1,baseline,Baseline (HEA),16,3,15.61387955412644,15.006248905867256,6.552689669609347,6.934539835670658,26.51272500106946,12,12,0.6020476744957931
1,baseline,Baseline (HEA),17,3,12.248047204078373,13.331103622927166,9.880064292160382,0.47408397328277546,36.71207591229707,12,12,0.5424223303418741
1,baseline,Baseline (HEA),18,3,5.431657637627402,4.056765271644066,4.019146802262634,0.5726958879597143,11.829424048591838,12,12,0.18405572294919292
1,baseline,Baseline (HEA),19,3,9.067448943724921,6.565559528944977,6.991414300139106,0.11721692891843287,20.8843409436281,12,12,0.3615816718296671
1,baseline,Baseline (HEA),20,3,8.572906309654181,7.009792262784735,7.633132954793253,0.3035507581819748,28.369375199985452,12,12,0.32028950168938836
1,baseline,Baseline (HEA),21,3,8.927465494029677,7.1820016208395385,6.275512962057438,0.19247614121432682,21.024266323087748,12,12,0.31683077786317704
1,baseline,Baseline (HEA),22,3,8.05018031443363,6.813120383755635,6.407294421132762,0.12035169221543884,20.07561947305367,12,12,0.3218367068308676
1,baseline,Baseline (HEA),23,3,13.173060465857125,12.123684134535107,7.626823797789337,2.2955870514153136,24.57230185647083,12,12,0.5123217573223973
1,baseline,Baseline (HEA),24,3,9.757268806232377,5.87079933953302,8.915248031194945,0.8843594938814114,24.97294964046966,12,12,0.4138999027983939
1,baseline,Baseline (HEA),25,3,11.060974723206364,10.391371160571786,9.160360492167632,2.4828985501285645,36.6663049717372,12,12,0.45224113593771603
1,baseline,Baseline (HEA),26,3,10.985020173478233,7.538811865918895,9.683414547499165,1.3013351931377273,32.25242483672454,12,12,0.466005576343638
1,baseline,Baseline (HEA),27,3,10.086121367627285,10.032196974422035,7.0584541227923205,0.7475337599249595,22.461588540398264,12,12,0.41881265058408096
1,baseline,Baseline (HEA),28,3,11.554325995791139,7.440090622558634,10.435672196206248,0.24241465882105784,33.4525458773925,12,12,0.48252670495154554
1,baseline,Baseline (HEA),29,3,16.96355135604854,16.382369265837614,8.140274818866574,1.281452949232367,29.43826916666061,12,12,0.6414481588923646
1,baseline,Baseline (HEA),30,3,12.054699182290813,10.486450309470651,9.376909140077759,0.016035419862646078,27.305639387119033,12,12,0.4757606256731091
1,baseline,Baseline (HEA),31,3,6.6825211461047,4.335003395336033,5.072116098890872,0.7983465216118859,14.690145685361413,12,12,0.2719264870506993
1,baseline,Baseline (HEA),32,3,13.42164027055363,11.093008886901943,10.30121564762813,1.4212630335106715,38.97515598814989,12,12,0.6008109258878457
1,baseline,Baseline (HEA),33,3,13.778613089007166,9.702748877323572,11.265225928072027,2.6444513752258683,46.62446086633724,12,12,0.49146752645876396
1,baseline,Baseline (HEA),34,3,11.197842760108571,7.212398896934191,9.769037882149833,1.2986012689225968,32.67213636367313,12,12,0.43402671428353595
1,baseline,Baseline (HEA),35,3,11.386410298672148,9.799238038307461,8.178710131798995,1.0784496956646152,30.01172311666299,12,12,0.4042356677539976
1,baseline,Baseline (HEA),36,3,9.492514762808293,6.565141335035439,8.656020677194709,0.2663257780105039,22.42778163826183,12,12,0.45530462629777246
1,baseline,Baseline (HEA),37,3,11.47556231249181,12.217648691250336,5.714265591562083,1.7907118206478574,20.874335943911678,12,12,0.44985448711573817
1,baseline,Baseline (HEA),38,3,11.177770927039193,10.21866053176368,6.36014817727514,5.292751007749888,28.8871406616903,12,12,0.39631420715083343
1,baseline,Baseline (HEA),39,3,12.015204090591704,7.557655228485463,14.356371998945892,1.9383341095423667,55.7522954140806,12,12,0.4399739295238679
1,baseline,Baseline (HEA),40,3,10.52905695236833,2.74498140692251,13.667004682412664,0.5007770962611805,46.14245759244641,12,12,0.4517181892465128
1,baseline,Baseline (HEA),41,3,7.645719587522238,4.430050571124754,8.885511140083217,1.1646748399065703,34.04735763527127,12,12,0.30824662583149076
