task,task_label,n_qubits,config_id,config_name,config_label,seed,L,residual_reduction,mean_snr,median_snr,std_snr,min_snr,max_snr,n_params,n_finite_params,n_deterministic_params,deterministic_labels,mean_abs_grad
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),29,3,sum,45.63400039443719,41.97211327992401,37.30092467285877,0.6277419171663945,117.6687045708604,6,6,0,,0.6270591986111719
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),30,3,sum,23.134648433276435,18.448264118468586,22.4837316956794,1.2403729825983485,68.2096759684089,6,6,0,,0.44666484986463867
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),31,3,sum,33.42149059618867,30.92330232053268,17.7574800600987,13.03133562699845,65.40932428541299,6,6,0,,0.6926742146109784
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),32,3,sum,23.23563727643129,13.604910906121734,20.069398789240406,2.207016849900477,55.13953175167449,6,6,0,,0.4716671260473813
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),33,3,sum,22.856815703482685,23.62994152125073,6.365155071926017,11.663626262738957,31.187193585485083,6,6,0,,0.4902136979043148
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),34,3,sum,41.25557145138578,23.633362016170288,31.761631732865037,9.29561859858502,86.55305469047839,6,6,0,,0.678124969825434
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),35,3,sum,25.37669617852848,21.660887451163894,18.168227620384997,4.010639492869451,61.36358995272946,6,6,0,,0.5237842296412002
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),36,3,sum,36.14648816162424,36.13431634783394,25.779934772770016,3.385151457588882,71.67542577512972,6,6,0,,0.5977939450509312
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),37,3,sum,12.397635415381963,10.94715234964836,8.414427757912286,0.8310138610840756,26.28197954316361,6,6,0,,0.28282415465577126
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),38,3,sum,22.077822418996472,18.157341511045175,12.961709387880846,7.264555269414777,38.99625355931536,6,6,0,,0.47547447293753414
tfim_h0.5,"TFIM (J=1, h=0.5)",2,1,baseline,Baseline (HEA),39,3,sum,15.425590065516635,18.81688494832045,9.764719531771652,1.5120568951844657,29.187750612810866,6,6,0,,0.39884367518525526
