config_name,L,param_label,landscape_grad_var,landscape_grad_mean,n_seeds
baseline,3,theta_0,0.20132788621600003,-0.02837896166030332,50
baseline,3,theta_1,0.3621416409755342,-0.027579936651603763,50
baseline,3,theta_2,0.38306689392268034,0.08995833815694576,50
baseline,3,theta_3,0.39777982403002843,-0.10075657992282676,50
baseline,3,theta_4,0.40905665807336655,0.07919343533842714,50
baseline,3,theta_5,0.49465670022140396,0.04550992583927245,50
baseline,3,theta_6,0.35101978068981793,-0.08690119679604695,50
baseline,3,theta_7,0.5458961161679867,-0.10746335323224386,50
baseline,3,theta_8,0.03369260172562946,0.029281701805637928,50
baseline,3,theta_9,0.2564214746281256,0.06479531647036166,50
baseline,3,theta_10,0.13499353997377647,-0.043078931345537225,50
baseline,3,theta_11,0.3063182788737849,0.09394588447041688,50
entanglement_only,3,theta_0,0.31487518224836225,-0.015680937588468745,50
entanglement_only,3,theta_1,0.3795683098762938,-0.14609477951743732,50
entanglement_only,3,theta_2,0.38919703922341836,-0.09900453385148528,50
entanglement_only,3,theta_3,0.5382498479558301,-0.1795798890351759,50
entanglement_only,3,theta_4,0.19702635405753738,-0.011175734607799082,50
entanglement_only,3,theta_5,0.5233226570773445,-0.03586191479020376,50
entanglement_only,3,theta_6,0.21433230163089448,-0.1522969251542604,50
entanglement_only,3,theta_7,0.5576509941797042,0.19261543520113797,50
entanglement_only,3,theta_8,0.19702635405753732,-0.01117573460779905,50
entanglement_only,3,theta_9,0.3885642883521996,0.027574086572173924,50
entanglement_only,3,theta_10,0.21859707257914907,-0.016167455851554206,50
entanglement_only,3,theta_11,0.5576509941797042,0.19261543520113805,50
local_cost_only,3,theta_0,0.04518724755170703,0.057051859554031185,50
local_cost_only,3,theta_1,0.15486814987298383,0.012640612163871152,50
local_cost_only,3,theta_2,0.10355091574203203,-0.025571496024666497,50
local_cost_only,3,theta_3,0.03499319627626519,0.07359307092396965,50
local_cost_only,3,theta_4,0.11717961501916195,0.021734042020775828,50
local_cost_only,3,theta_5,0.20999408066679812,-0.033797176279905645,50
local_cost_only,3,theta_6,0.06454688546181885,0.019644709630662942,50
local_cost_only,3,theta_7,6.083824916149701e-33,-1.2698175844150228e-17,50
local_cost_only,3,theta_8,3.252202341290062e-33,-8.326672684688674e-19,50
local_cost_only,3,theta_9,0.23309670185315742,-0.07457513383054165,50
local_cost_only,3,theta_10,2.0727821026467625e-33,-6.938893903907229e-19,50
local_cost_only,3,theta_11,2.780662468531152e-33,1.5959455978986626e-18,50
residual_only,3,theta_0,16.25058997279059,-0.1783888879761532,50
residual_only,3,theta_1,13.922470552199044,-0.16024419617388452,50
residual_only,3,theta_2,4.769076698527133,0.6549134569868237,50
residual_only,3,theta_3,2.7251938059603065,-0.15401332534958112,50
residual_only,3,theta_4,11.406796349724628,-0.4279850816114451,50
residual_only,3,theta_5,8.631872728033757,-0.24811557612896432,50
residual_only,3,theta_6,4.619011491715366,-0.29163377068771273,50
residual_only,3,theta_7,2.421099771585067,-0.21121605761343815,50
residual_only,3,theta_8,0.03369260172562951,0.029281701805637887,50
residual_only,3,theta_9,0.25642147462812565,0.06479531647036167,50
residual_only,3,theta_10,0.13499353997377653,-0.043078931345537315,50
residual_only,3,theta_11,0.3063182788737848,0.0939458844704169,50
residual_only,3,alpha_0,0.0,4.0,50
residual_only,3,alpha_1,0.9307344850090062,0.05396809456499524,50
residual_only,3,alpha_2,0.6405939713269119,0.0892229325002936,50
entanglement_local,3,theta_0,0.12550079759507363,-0.009337428773076107,50
entanglement_local,3,theta_1,0.26374209572971147,0.04096027492361392,50
entanglement_local,3,theta_2,0.07618547758537686,0.05775264064983901,50
entanglement_local,3,theta_3,0.0290673794084073,-0.020658845760392598,50
entanglement_local,3,theta_4,3.825301314841372e-33,1.0685896612017132e-17,50
entanglement_local,3,theta_5,0.2891035255877536,0.04693659146266323,50
entanglement_local,3,theta_6,0.07864760805621557,-0.03296901697576046,50
entanglement_local,3,theta_7,4.41440476623054e-33,-4.024558464266192e-18,50
entanglement_local,3,theta_8,1.8369712402559898e-33,-1.8041124150158794e-18,50
entanglement_local,3,theta_9,0.20954262145738184,0.06089286879405086,50
entanglement_local,3,theta_10,2.1207570175614482e-33,-1.0824674490095277e-17,50
entanglement_local,3,theta_11,2.0425642618193267e-33,-5.273559366969494e-18,50
entanglement_residual,3,theta_0,19.30730929101832,0.3503278957251179,50
entanglement_residual,3,theta_1,14.391714183669801,-0.8690015660853387,50
entanglement_residual,3,theta_2,14.787733686260513,0.4769916205180824,50
entanglement_residual,3,theta_3,16.653248237376314,-0.2854815570337259,50
entanglement_residual,3,theta_4,5.377017885275695,-0.26004554567217025,50
entanglement_residual,3,theta_5,12.376530536551536,-0.17490203125652448,50
entanglement_residual,3,theta_6,1.8653781128586286,-0.1916386368304993,50
entanglement_residual,3,theta_7,8.282760713302393,-0.05395599685035222,50
entanglement_residual,3,theta_8,0.1970263540575372,-0.011175734607799121,50
entanglement_residual,3,theta_9,0.38856428835219936,0.027574086572173986,50
entanglement_residual,3,theta_10,0.2185970725791492,-0.016167455851554217,50
entanglement_residual,3,theta_11,0.5576509941797043,0.1926154352011381,50
entanglement_residual,3,alpha_0,0.0,4.0,50
entanglement_residual,3,alpha_1,1.1513768698585045,0.15769565943434435,50
entanglement_residual,3,alpha_2,0.8499076527794799,0.1041439658744071,50
combined,3,theta_0,18.022606273251057,0.3566714045405102,50
combined,3,theta_1,13.107465127032876,-0.6819465116442873,50
combined,3,theta_2,14.668473386898834,0.6337487950194065,50
combined,3,theta_3,14.312422464529652,-0.12656051375894256,50
combined,3,theta_4,5.391374359349766,-0.24886981106437123,50
combined,3,theta_5,12.716411796869352,-0.09210352500365752,50
combined,3,theta_6,1.7226341259474842,-0.07231072865199939,50
combined,3,theta_7,7.117378231811067,-0.24657143205149026,50
combined,3,theta_8,7.969467294995271e-32,1.3322676295501878e-17,50
combined,3,theta_9,0.20954262145738184,0.060892868794050835,50
combined,3,theta_10,4.910659135000798e-33,-4.440892098500626e-18,50
combined,3,theta_11,6.18466949693273e-32,-3.552713678800501e-17,50
combined,3,alpha_0,0.0,4.0,50
combined,3,alpha_1,1.1513768698585045,0.15769565943434435,50
combined,3,alpha_2,0.8499076527794799,0.1041439658744071,50
