coefficient,lbfgs_estimate,lbfgs_se,bfgs_estimate,bfgs_se,abs_diff
E:L,0.024995843985971582,0.007279011371641417,0.024995840071862098,0.007279032123156074,-3.91410948444304e-09
E:R,-0.0009575787575784316,0.007292917086826747,-0.0009575798931353939,0.007292937886695803,-1.1355569623722542e-09
L:R:depth_z,-0.010178757716721849,0.005362074992735445,-0.010178768834669047,0.005362090288920861,-1.1117947198296951e-08
log_likelihood,-58498.75748882338,,-58498.757440101006,,4.872237332165241e-05
group_intercept_var,0.0011450168924117966,,0.0011413772545019148,,-3.6396379098817613e-06
nested_param_var,0.08772285108655965,,0.08770833971109598,,-1.4511375463668874e-05
