hypothesis,coefficient,model,estimate,se,wald_z,p_unadjusted,ci_lo,ci_hi,n_obs
H2 (beta_EL),E:L,full_sweep_adopted,0.024995843985971582,0.007279011371641417,3.4339613870303682,0.0005948289235313542,0.010728981697554407,0.039262706274388756,101891
H2 (beta_EL),E:L,d_neq_1_sensitivity,0.032353764449543285,0.007086746632697223,4.565390316096204,4.985658242029345e-06,0.01846374104945673,0.04624378784962984,95656
H2 (beta_EL),E:L,comparison,0.007357920463571702,,1.0108406331439062,,1.0,1.0,95656
H3 (beta_ER),E:R,full_sweep_adopted,-0.0009575787575784316,0.007292917086826747,-0.13130257017567273,0.8955359586892191,-0.015251696247758854,0.013336538732601991,101891
H3 (beta_ER),E:R,d_neq_1_sensitivity,-0.000940845000055537,0.0070954820418444855,-0.13259775650294822,0.8945115068047109,-0.014847989802070728,0.012966299801959656,95656
H3 (beta_ER),E:R,comparison,1.6733757522894568e-05,,0.0022945218386098047,,1.0,1.0,95656
H4 (beta_LRd),L:R:depth_z,full_sweep_adopted,-0.010178757716721849,0.005362074992735445,-1.8982870867177464,0.05765827411115354,-0.02068842470248332,0.00033090926903962294,101891
H4 (beta_LRd),L:R:depth_z,d_neq_1_sensitivity,-0.009847024218768359,0.0057814515609354265,-1.7032096723431047,0.08852883723119875,-0.021178669278201792,0.0014846208406650765,95656
H4 (beta_LRd),L:R:depth_z,comparison,0.00033173349795348993,,0.06186662782652676,,1.0,1.0,95656
