configuration_id,depth,budget,total_endtoend,excluded_endtoend,pct_endtoend,total_conditional,excluded_conditional,pct_conditional,pct_diff_endtoend_minus_conditional
6,2,500,400,0,0.0,400,2,0.5,-0.5
6,2,1000,400,0,0.0,400,0,0.0,0.0
6,2,2000,400,1,0.25,400,1,0.25,0.0
6,3,250,600,5,0.8333333333333334,600,14,2.3333333333333335,-1.5
6,3,500,600,1,0.16666666666666666,600,12,2.0,-1.8333333333333333
6,3,1000,600,1,0.16666666666666666,600,4,0.6666666666666666,-0.5
6,3,2000,600,0,0.0,600,4,0.6666666666666666,-0.6666666666666666
6,4,250,800,2,0.25,800,21,2.625,-2.375
6,4,500,800,1,0.125,800,7,0.875,-0.75
6,4,1000,800,0,0.0,800,2,0.25,-0.25
6,4,2000,800,0,0.0,800,2,0.25,-0.25
6,6,250,1200,5,0.4166666666666667,1200,25,2.0833333333333335,-1.6666666666666667
6,6,500,1200,1,0.08333333333333333,1200,18,1.5,-1.4166666666666667
6,6,1000,1200,2,0.16666666666666666,1200,12,1.0,-0.8333333333333334
6,6,2000,1200,0,0.0,1200,5,0.4166666666666667,-0.4166666666666667
7,1,250,200,0,0.0,200,0,0.0,0.0
7,1,500,200,0,0.0,200,0,0.0,0.0
7,1,1000,200,0,0.0,200,0,0.0,0.0
7,1,2000,200,0,0.0,200,0,0.0,0.0
7,2,250,400,0,0.0,400,0,0.0,0.0
7,2,500,400,0,0.0,400,0,0.0,0.0
7,2,1000,400,0,0.0,400,0,0.0,0.0
7,2,2000,400,0,0.0,400,0,0.0,0.0
7,3,250,600,0,0.0,600,0,0.0,0.0
7,3,500,600,0,0.0,600,0,0.0,0.0
7,3,1000,600,0,0.0,600,0,0.0,0.0
7,3,2000,600,0,0.0,600,0,0.0,0.0
7,4,250,800,0,0.0,800,0,0.0,0.0
7,4,500,800,0,0.0,800,0,0.0,0.0
7,4,1000,800,0,0.0,800,0,0.0,0.0
7,4,2000,800,0,0.0,800,0,0.0,0.0
7,6,250,1200,0,0.0,1200,0,0.0,0.0
7,6,500,1200,0,0.0,1200,0,0.0,0.0
7,6,1000,1200,0,0.0,1200,0,0.0,0.0
7,6,2000,1200,0,0.0,1200,0,0.0,0.0
8,1,250,200,0,0.0,200,0,0.0,0.0
8,1,500,200,0,0.0,200,0,0.0,0.0
8,1,1000,200,0,0.0,200,0,0.0,0.0
8,1,2000,200,0,0.0,200,0,0.0,0.0
8,2,250,400,0,0.0,400,0,0.0,0.0
8,2,500,400,0,0.0,400,0,0.0,0.0
8,2,1000,400,0,0.0,400,0,0.0,0.0
8,2,2000,400,0,0.0,400,0,0.0,0.0
8,3,250,600,0,0.0,600,0,0.0,0.0
8,3,500,600,0,0.0,600,0,0.0,0.0
8,3,1000,600,0,0.0,600,0,0.0,0.0
8,3,2000,600,0,0.0,600,0,0.0,0.0
8,4,250,800,0,0.0,800,0,0.0,0.0
8,4,500,800,0,0.0,800,0,0.0,0.0
8,4,1000,800,0,0.0,800,0,0.0,0.0
8,4,2000,800,0,0.0,800,0,0.0,0.0
8,6,250,1200,0,0.0,1200,0,0.0,0.0
8,6,500,1200,0,0.0,1200,0,0.0,0.0
8,6,1000,1200,0,0.0,1200,0,0.0,0.0
8,6,2000,1200,0,0.0,1200,0,0.0,0.0
