analysis_mode,configuration_id,depth,budget,total,excluded,pct
finite_shot_end_to_end,4,4,2000,800,3,0.375
finite_shot_end_to_end,4,6,250,1200,7,0.5833333333333334
finite_shot_end_to_end,4,6,500,1200,7,0.5833333333333334
finite_shot_end_to_end,4,6,1000,1200,4,0.3333333333333333
finite_shot_end_to_end,4,6,2000,1200,6,0.5
finite_shot_end_to_end,5,1,250,200,0,0.0
finite_shot_end_to_end,5,1,500,200,0,0.0
finite_shot_end_to_end,5,1,1000,200,0,0.0
finite_shot_end_to_end,5,1,2000,200,0,0.0
finite_shot_end_to_end,5,2,250,400,0,0.0
finite_shot_end_to_end,5,2,500,400,0,0.0
finite_shot_end_to_end,5,2,1000,400,0,0.0
finite_shot_end_to_end,5,2,2000,400,0,0.0
finite_shot_end_to_end,5,3,250,600,0,0.0
finite_shot_end_to_end,5,3,500,600,0,0.0
finite_shot_end_to_end,5,3,1000,600,0,0.0
finite_shot_end_to_end,5,3,2000,600,0,0.0
finite_shot_end_to_end,5,4,250,800,0,0.0
finite_shot_end_to_end,5,4,500,800,0,0.0
finite_shot_end_to_end,5,4,1000,800,0,0.0
finite_shot_end_to_end,5,4,2000,800,0,0.0
finite_shot_end_to_end,5,6,250,1200,0,0.0
finite_shot_end_to_end,5,6,500,1200,0,0.0
finite_shot_end_to_end,5,6,1000,1200,0,0.0
finite_shot_end_to_end,5,6,2000,1200,0,0.0
finite_shot_end_to_end,6,1,250,200,14,7.0
finite_shot_end_to_end,6,1,500,200,10,5.0
finite_shot_end_to_end,6,1,1000,200,1,0.5
finite_shot_end_to_end,6,1,2000,200,1,0.5
finite_shot_end_to_end,6,2,250,400,6,1.5
finite_shot_end_to_end,6,2,500,400,0,0.0
finite_shot_end_to_end,6,2,1000,400,0,0.0
finite_shot_end_to_end,6,2,2000,400,1,0.25
finite_shot_end_to_end,6,3,250,600,5,0.8333333333333334
finite_shot_end_to_end,6,3,500,600,1,0.16666666666666666
finite_shot_end_to_end,6,3,1000,600,1,0.16666666666666666
finite_shot_end_to_end,6,3,2000,600,0,0.0
finite_shot_end_to_end,6,4,250,800,2,0.25
finite_shot_end_to_end,6,4,500,800,1,0.125
finite_shot_end_to_end,6,4,1000,800,0,0.0
finite_shot_end_to_end,6,4,2000,800,0,0.0
finite_shot_end_to_end,6,6,250,1200,5,0.4166666666666667
finite_shot_end_to_end,6,6,500,1200,1,0.08333333333333333
finite_shot_end_to_end,6,6,1000,1200,2,0.16666666666666666
finite_shot_end_to_end,6,6,2000,1200,0,0.0
finite_shot_end_to_end,7,1,250,200,0,0.0
finite_shot_end_to_end,7,1,500,200,0,0.0
finite_shot_end_to_end,7,1,1000,200,0,0.0
finite_shot_end_to_end,7,1,2000,200,0,0.0
finite_shot_end_to_end,7,2,250,400,0,0.0
finite_shot_end_to_end,7,2,500,400,0,0.0
finite_shot_end_to_end,7,2,1000,400,0,0.0
finite_shot_end_to_end,7,2,2000,400,0,0.0
finite_shot_end_to_end,7,3,250,600,0,0.0
finite_shot_end_to_end,7,3,500,600,0,0.0
finite_shot_end_to_end,7,3,1000,600,0,0.0
finite_shot_end_to_end,7,3,2000,600,0,0.0
finite_shot_end_to_end,7,4,250,800,0,0.0
finite_shot_end_to_end,7,4,500,800,0,0.0
finite_shot_end_to_end,7,4,1000,800,0,0.0
finite_shot_end_to_end,7,4,2000,800,0,0.0
finite_shot_end_to_end,7,6,250,1200,0,0.0
finite_shot_end_to_end,7,6,500,1200,0,0.0
finite_shot_end_to_end,7,6,1000,1200,0,0.0
finite_shot_end_to_end,7,6,2000,1200,0,0.0
finite_shot_end_to_end,8,1,250,200,0,0.0
finite_shot_end_to_end,8,1,500,200,0,0.0
finite_shot_end_to_end,8,1,1000,200,0,0.0
finite_shot_end_to_end,8,1,2000,200,0,0.0
finite_shot_end_to_end,8,2,250,400,0,0.0
finite_shot_end_to_end,8,2,500,400,0,0.0
finite_shot_end_to_end,8,2,1000,400,0,0.0
finite_shot_end_to_end,8,2,2000,400,0,0.0
finite_shot_end_to_end,8,3,250,600,0,0.0
finite_shot_end_to_end,8,3,500,600,0,0.0
finite_shot_end_to_end,8,3,1000,600,0,0.0
finite_shot_end_to_end,8,3,2000,600,0,0.0
finite_shot_end_to_end,8,4,250,800,0,0.0
finite_shot_end_to_end,8,4,500,800,0,0.0
finite_shot_end_to_end,8,4,1000,800,0,0.0
finite_shot_end_to_end,8,4,2000,800,0,0.0
finite_shot_end_to_end,8,6,250,1200,0,0.0
finite_shot_end_to_end,8,6,500,1200,0,0.0
finite_shot_end_to_end,8,6,1000,1200,0,0.0
finite_shot_end_to_end,8,6,2000,1200,0,0.0
finite_shot_conditional,1,1,250,200,20,10.0
finite_shot_conditional,1,1,500,200,14,7.0
finite_shot_conditional,1,1,1000,200,11,5.5
finite_shot_conditional,1,1,2000,200,11,5.5
finite_shot_conditional,1,2,250,400,32,8.0
finite_shot_conditional,1,2,500,400,26,6.5
finite_shot_conditional,1,2,1000,400,16,4.0
finite_shot_conditional,1,2,2000,400,9,2.25
finite_shot_conditional,1,3,250,600,29,4.833333333333333
finite_shot_conditional,1,3,500,600,21,3.5
finite_shot_conditional,1,3,1000,600,12,2.0
finite_shot_conditional,1,3,2000,600,10,1.6666666666666667
finite_shot_conditional,1,4,250,800,39,4.875
finite_shot_conditional,1,4,500,800,35,4.375
finite_shot_conditional,1,4,1000,800,27,3.375
finite_shot_conditional,1,4,2000,800,24,3.0
finite_shot_conditional,1,6,250,1200,63,5.25
finite_shot_conditional,1,6,500,1200,26,2.1666666666666665
finite_shot_conditional,1,6,1000,1200,14,1.1666666666666667
finite_shot_conditional,1,6,2000,1200,10,0.8333333333333334
finite_shot_conditional,2,1,250,200,12,6.0
finite_shot_conditional,2,1,500,200,7,3.5
finite_shot_conditional,2,1,1000,200,4,2.0
finite_shot_conditional,2,1,2000,200,1,0.5
finite_shot_conditional,2,2,250,400,5,1.25
finite_shot_conditional,2,2,500,400,6,1.5
finite_shot_conditional,2,2,1000,400,1,0.25
finite_shot_conditional,2,2,2000,400,1,0.25
finite_shot_conditional,2,3,250,600,12,2.0
finite_shot_conditional,2,3,500,600,9,1.5
finite_shot_conditional,2,3,1000,600,5,0.8333333333333334
finite_shot_conditional,2,3,2000,600,1,0.16666666666666666
finite_shot_conditional,2,4,250,800,28,3.5
finite_shot_conditional,2,4,500,800,12,1.5
finite_shot_conditional,2,4,1000,800,7,0.875
finite_shot_conditional,2,4,2000,800,5,0.625
finite_shot_conditional,2,6,250,1200,19,1.5833333333333333
finite_shot_conditional,2,6,500,1200,32,2.6666666666666665
finite_shot_conditional,2,6,1000,1200,9,0.75
finite_shot_conditional,2,6,2000,1200,5,0.4166666666666667
finite_shot_conditional,3,1,250,200,0,0.0
finite_shot_conditional,3,1,500,200,0,0.0
finite_shot_conditional,3,1,1000,200,0,0.0
finite_shot_conditional,3,1,2000,200,0,0.0
finite_shot_conditional,3,2,250,400,0,0.0
finite_shot_conditional,3,2,500,400,0,0.0
finite_shot_conditional,3,2,1000,400,0,0.0
finite_shot_conditional,3,2,2000,400,0,0.0
finite_shot_conditional,3,3,250,600,0,0.0
finite_shot_conditional,3,3,500,600,0,0.0
finite_shot_conditional,3,3,1000,600,0,0.0
finite_shot_conditional,3,3,2000,600,0,0.0
finite_shot_conditional,3,4,250,800,0,0.0
finite_shot_conditional,3,4,500,800,0,0.0
finite_shot_conditional,3,4,1000,800,0,0.0
finite_shot_conditional,3,4,2000,800,0,0.0
finite_shot_conditional,3,6,250,1200,0,0.0
finite_shot_conditional,3,6,500,1200,0,0.0
finite_shot_conditional,3,6,1000,1200,0,0.0
finite_shot_conditional,3,6,2000,1200,0,0.0
finite_shot_conditional,4,1,250,200,22,11.0
finite_shot_conditional,4,1,500,200,18,9.0
finite_shot_conditional,4,1,1000,200,11,5.5
finite_shot_conditional,4,1,2000,200,8,4.0
finite_shot_conditional,4,2,250,400,23,5.75
finite_shot_conditional,4,2,500,400,23,5.75
finite_shot_conditional,4,2,1000,400,14,3.5
finite_shot_conditional,4,2,2000,400,10,2.5
finite_shot_conditional,4,3,250,600,39,6.5
finite_shot_conditional,4,3,500,600,25,4.166666666666667
finite_shot_conditional,4,3,1000,600,19,3.1666666666666665
finite_shot_conditional,4,3,2000,600,16,2.6666666666666665
finite_shot_conditional,4,4,250,800,35,4.375
finite_shot_conditional,4,4,500,800,29,3.625
finite_shot_conditional,4,4,1000,800,12,1.5
finite_shot_conditional,4,4,2000,800,11,1.375
finite_shot_conditional,4,6,250,1200,81,6.75
finite_shot_conditional,4,6,500,1200,49,4.083333333333333
finite_shot_conditional,4,6,1000,1200,44,3.6666666666666665
finite_shot_conditional,4,6,2000,1200,40,3.3333333333333335
finite_shot_conditional,5,1,250,200,0,0.0
finite_shot_conditional,5,1,500,200,0,0.0
finite_shot_conditional,5,1,1000,200,0,0.0
finite_shot_conditional,5,1,2000,200,0,0.0
finite_shot_conditional,5,2,250,400,0,0.0
finite_shot_conditional,5,2,500,400,0,0.0
finite_shot_conditional,5,2,1000,400,0,0.0
finite_shot_conditional,5,2,2000,400,0,0.0
finite_shot_conditional,5,3,250,600,0,0.0
finite_shot_conditional,5,3,500,600,0,0.0
finite_shot_conditional,5,3,1000,600,0,0.0
finite_shot_conditional,5,3,2000,600,0,0.0
finite_shot_conditional,5,4,250,800,0,0.0
finite_shot_conditional,5,4,500,800,0,0.0
finite_shot_conditional,5,4,1000,800,0,0.0
finite_shot_conditional,5,4,2000,800,0,0.0
finite_shot_conditional,5,6,250,1200,0,0.0
finite_shot_conditional,5,6,500,1200,0,0.0
finite_shot_conditional,5,6,1000,1200,0,0.0
finite_shot_conditional,5,6,2000,1200,0,0.0
finite_shot_conditional,6,1,250,200,13,6.5
finite_shot_conditional,6,1,500,200,14,7.0
finite_shot_conditional,6,1,1000,200,4,2.0
finite_shot_conditional,6,1,2000,200,1,0.5
finite_shot_conditional,6,2,250,400,4,1.0
finite_shot_conditional,6,2,500,400,2,0.5
finite_shot_conditional,6,2,1000,400,0,0.0
finite_shot_conditional,6,2,2000,400,1,0.25
finite_shot_conditional,6,3,250,600,14,2.3333333333333335
finite_shot_conditional,6,3,500,600,12,2.0
finite_shot_conditional,6,3,1000,600,4,0.6666666666666666
finite_shot_conditional,6,3,2000,600,4,0.6666666666666666
finite_shot_conditional,6,4,250,800,21,2.625
finite_shot_conditional,6,4,500,800,7,0.875
finite_shot_conditional,6,4,1000,800,2,0.25
finite_shot_conditional,6,4,2000,800,2,0.25
finite_shot_conditional,6,6,250,1200,25,2.0833333333333335
finite_shot_conditional,6,6,500,1200,18,1.5
finite_shot_conditional,6,6,1000,1200,12,1.0
finite_shot_conditional,6,6,2000,1200,5,0.4166666666666667
finite_shot_conditional,7,1,250,200,0,0.0
finite_shot_conditional,7,1,500,200,0,0.0
finite_shot_conditional,7,1,1000,200,0,0.0
finite_shot_conditional,7,1,2000,200,0,0.0
finite_shot_conditional,7,2,250,400,0,0.0
finite_shot_conditional,7,2,500,400,0,0.0
finite_shot_conditional,7,2,1000,400,0,0.0
finite_shot_conditional,7,2,2000,400,0,0.0
finite_shot_conditional,7,3,250,600,0,0.0
finite_shot_conditional,7,3,500,600,0,0.0
finite_shot_conditional,7,3,1000,600,0,0.0
finite_shot_conditional,7,3,2000,600,0,0.0
finite_shot_conditional,7,4,250,800,0,0.0
finite_shot_conditional,7,4,500,800,0,0.0
finite_shot_conditional,7,4,1000,800,0,0.0
finite_shot_conditional,7,4,2000,800,0,0.0
finite_shot_conditional,7,6,250,1200,0,0.0
finite_shot_conditional,7,6,500,1200,0,0.0
finite_shot_conditional,7,6,1000,1200,0,0.0
finite_shot_conditional,7,6,2000,1200,0,0.0
finite_shot_conditional,8,1,250,200,0,0.0
finite_shot_conditional,8,1,500,200,0,0.0
finite_shot_conditional,8,1,1000,200,0,0.0
finite_shot_conditional,8,1,2000,200,0,0.0
finite_shot_conditional,8,2,250,400,0,0.0
finite_shot_conditional,8,2,500,400,0,0.0
finite_shot_conditional,8,2,1000,400,0,0.0
finite_shot_conditional,8,2,2000,400,0,0.0
finite_shot_conditional,8,3,250,600,0,0.0
finite_shot_conditional,8,3,500,600,0,0.0
finite_shot_conditional,8,3,1000,600,0,0.0
finite_shot_conditional,8,3,2000,600,0,0.0
finite_shot_conditional,8,4,250,800,0,0.0
finite_shot_conditional,8,4,500,800,0,0.0
finite_shot_conditional,8,4,1000,800,0,0.0
finite_shot_conditional,8,4,2000,800,0,0.0
finite_shot_conditional,8,6,250,1200,0,0.0
finite_shot_conditional,8,6,500,1200,0,0.0
finite_shot_conditional,8,6,1000,1200,0,0.0
finite_shot_conditional,8,6,2000,1200,0,0.0
