depth,estimate,se,ci95_lo,ci95_hi,p_unadjusted,n_obs_eligible,n_zero_variance,sign,ci_excludes_zero
1,0.1298824930592474,0.08276504229631433,-0.032334009020462934,0.29209899513895776,0.11657998785030507,6274,126,positive,False
2,0.04609494490919086,0.06758718573757874,-0.08637350495288268,0.1785633947712644,0.4952344205151987,12667,133,positive,False
3,0.07385291301283008,0.048758355161681366,-0.021711707049478043,0.16941753307513818,0.12985550065834023,19077,123,positive,False
4,0.0247434416382305,0.032275168877990784,-0.03851472695757946,0.08800161023404046,0.44329547251700885,25496,104,positive,False
6,0.0197757251454255,0.017433449691774017,-0.014393208376742482,0.05394465866759348,0.25664556312664244,38301,99,positive,False
