coefficient,estimate,se,ci95_lo,ci95_hi,converged,n_obs,log_likelihood,zero_variance_by_depth
E:L,0.06334915873769385,0.007721741688789858,0.04821482312974423,0.07848349434564347,True,101815,-56956.9726473511,"{""1"": 126, ""2"": 133, ""3"": 123, ""4"": 104, ""6"": 99}"
E:L:depth_z,-0.025941719011468092,0.005282088387636242,-0.03629442201439237,-0.015589016008543814,True,101815,-56956.9726473511,"{""1"": 126, ""2"": 133, ""3"": 123, ""4"": 104, ""6"": 99}"
