weighting,estimate,se,ci95_lo,ci95_hi,p_unadjusted,n_obs_total
equal_depth,0.06114707826034403,0.006093356071974179,0.04920431981429619,0.07308983670639188,1.069149334288965e-23,101815
observation_count,0.043134095629690325,0.00505622760768065,0.033224071620999135,0.053044119638381515,1.452325084962637e-17,101815
replication_pooled_wald,0.0492936750947691,0.0071726375972034,0.035235563730092526,0.06335178645944567,,101815
