configuration_id,E,L,R,depth,budget,total,excluded,pct_excluded
8,1,1,1,2,2000,400,0,0.0
8,1,1,1,3,250,600,0,0.0
8,1,1,1,3,500,600,0,0.0
8,1,1,1,3,1000,600,0,0.0
8,1,1,1,3,2000,600,0,0.0
8,1,1,1,4,250,800,0,0.0
8,1,1,1,4,500,800,0,0.0
8,1,1,1,4,1000,800,0,0.0
8,1,1,1,4,2000,800,0,0.0
8,1,1,1,6,250,1200,0,0.0
8,1,1,1,6,500,1200,0,0.0
8,1,1,1,6,1000,1200,0,0.0
8,1,1,1,6,2000,1200,0,0.0
