coefficient,estimate,se,wald_z,p_unadjusted,ci95_lo,ci95_hi
E:L,0.024995843985971582,0.007279011371641417,3.4339613870303682,0.0005948289235313542,0.010729243854496907,0.039262444117446255
E:R,-0.0009575787575784316,0.007292917086826747,-0.13130257017567273,0.8955359586892191,-0.015251433589995625,0.013336276074838763
L:R:depth_z,-0.010178757716721849,0.005362074992735445,-1.8982870867177464,0.05765827411115354,-0.020688231584886193,0.0003307161514424957
