dataset,estimand,estimate,se,ci_lo,ci_hi
original,adopted_pooled,0.0040427967996562,0.0010812660133762,0.0019235543557316,0.0061620392435809
independent_seed,adopted_pooled,0.00772562533718829,0.0010888318741472493,0.005591554078640492,0.009859696595736088
