estimand,estimate,se,ci_lo,ci_hi,p_raw_descriptive,weight_D1,weight_D2,weight_D3,weight_D4,weight_D6,dataset
equal_depth,0.0023735343807044,0.0012944723776442,-0.0001635848584602,0.0049106536198691,0.0667145594306886,0.2,0.2,0.2,0.2,0.2,original
observation_weighted,0.0040427967996562,0.0010787269813702,0.001928530767019,0.0061570628322935,0.0001784294422019,0.0625,0.125,0.1875,0.25,0.375,original
parameter_weighted,0.0040427967996562,0.0010787269813702,0.001928530767019,0.0061570628322935,0.0001784294422019,0.0625,0.125,0.1875,0.25,0.375,original
equal_depth,0.005997356348975,0.0013033897386186,0.0034427594034634,0.0085519532944866,4.197552479495869e-06,0.2,0.2,0.2,0.2,0.2,independent_seed
observation_weighted,0.0077256253371882,0.0010861581155155,0.0055967945492619,0.0098544561251146,1.1371208714943536e-12,0.0625,0.125,0.1875,0.25,0.375,independent_seed
parameter_weighted,0.0077256253371882,0.0010861581155155,0.0055967945492619,0.0098544561251146,1.1371208714943536e-12,0.0625,0.125,0.1875,0.25,0.375,independent_seed
adopted_pooled,0.0040427967996562,0.0010812660133762,0.0019235543557316,0.0061620392435809,,,,,,,original
adopted_pooled,0.0077256253371882,0.0010888318741472,0.0055915540786404,0.009859696595736,,,,,,,independent_seed
