estimand,estimate_original,se_original,ci_lo_original,ci_hi_original,p_raw_descriptive_original,weight_D1_original,weight_D2_original,weight_D3_original,weight_D4_original,weight_D6_original,estimate_seed,se_seed,ci_lo_seed,ci_hi_seed,p_raw_descriptive_seed,weight_D1_seed,weight_D2_seed,weight_D3_seed,weight_D4_seed,weight_D6_seed,difference_seed_minus_original,difference_se,difference_ci_lo,difference_ci_hi,difference_p_raw
equal_depth,0.002373534380704468,0.0012944723776442725,-0.00016358485846023783,0.004910653619869174,0.06671455943068862,0.2,0.2,0.2,0.2,0.2,0.005997356348975042,0.0013033897386186344,0.0034427594034634437,0.008551953294486641,4.197552479495869e-06,0.2,0.2,0.2,0.2,0.2,0.003623821968270574,0.001836976741066791,2.341371534190324e-05,0.007224230221199245,0.04852863797085576
observation_weighted,0.004042796799656257,0.0010787269813702272,0.0019285307670190025,0.006157062832293512,0.0001784294422019999,0.0625,0.125,0.1875,0.25,0.375,0.007725625337188287,0.0010861581155155286,0.005596794549261955,0.009854456125114618,1.1371208714943536e-12,0.0625,0.125,0.1875,0.25,0.375,0.0036828285375320293,0.0015308139508889923,0.0006824883267581372,0.006683168748305921,0.016137202186598542
parameter_weighted,0.004042796799656257,0.0010787269813702272,0.0019285307670190025,0.006157062832293512,0.0001784294422019999,0.0625,0.125,0.1875,0.25,0.375,0.007725625337188287,0.0010861581155155286,0.005596794549261955,0.009854456125114618,1.1371208714943536e-12,0.0625,0.125,0.1875,0.25,0.375,0.0036828285375320293,0.0015308139508889923,0.0006824883267581372,0.006683168748305921,0.016137202186598542
