depth,estimate_original,se_original,ci_lo_original,ci_hi_original,p_raw_original,p_holm_within_dataset_original,n_rows_original,n_matched_parameters_per_initialization_original,n_initialization_clusters_original,contrast_expression_original,contrast_vector_nonzero_original,estimate_seed,se_seed,ci_lo_seed,ci_hi_seed,p_raw_seed,p_holm_within_dataset_seed,n_rows_seed,n_matched_parameters_per_initialization_seed,n_initialization_clusters_seed,contrast_expression_seed,contrast_vector_nonzero_seed,difference_seed_minus_original,difference_se,difference_ci_lo,difference_ci_hi,difference_p_raw,observation_weighted_difference_contribution,absolute_contribution_fraction
1,-0.0052507033508733154,0.004314907925480907,-0.013707767481422332,0.003206360779675701,0.22365179916888445,0.4473035983377689,1600,4,50,"E_c:L_c at D=1, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=1",0.0018622672726539592,0.004344632462062117,-0.006653055879051373,0.010377590424359292,0.668187909308608,0.668187909308608,1600,4,50,"E_c:L_c at D=1, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=1",0.007112970623527275,0.006123255803555971,-0.004888390219568297,0.019114331466622846,0.24538492896450337,0.00044456066397045467,0.07336343885273204
2,-0.003579498162244444,0.003051100654303128,-0.009559545557885168,0.0024005492333962807,0.24072259291420173,0.4473035983377689,3200,8,50,"E_c:L_c at D=2, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.2]=1",0.003119779483297068,0.0030721190756873274,-0.002901463261268574,0.00914102222786271,0.3098609458584406,0.6197218917168812,3200,8,50,"E_c:L_c at D=2, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.2]=1",0.006699277645541513,0.004329795701634308,-0.0017869659900780644,0.01518552128116109,0.12180290402870107,0.0008374097056926891,0.1381931887306001
3,0.012588306296151385,0.0024912132523048514,0.007705618043824982,0.017470994548477788,4.347358095557703e-07,2.173679047778852e-06,4800,12,50,"E_c:L_c at D=3, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.3]=1",0.006249973906829067,0.002508374721501549,0.001333649792955343,0.011166298020702792,0.012715382886170247,0.038146148658510744,4800,12,50,"E_c:L_c at D=3, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.3]=1",-0.006338332389322318,0.0035352633864999773,-0.013267321302725378,0.0005906565240807425,0.07299078533937998,-0.0011884373229979345,0.1961213754212361
4,0.004663936570762056,0.002157453962740454,0.00043540450548754713,0.008892468636036564,0.03063528994990474,0.12254115979961896,6400,16,50,"E_c:L_c at D=4, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.4]=1",0.007885154528646689,0.0021723162310310577,0.0036274929527940246,0.012142816104499354,0.00028359989813781655,0.0011343995925512662,6400,16,50,"E_c:L_c at D=4, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.4]=1",0.003221217957884633,0.0030616279017779847,-0.002779462463663151,0.009221898379432417,0.29274179872977957,0.0008053044894711582,0.1328950387636508
6,0.003445630549726658,0.0017615537840865543,-6.951423913234642e-06,0.0068982125233665505,0.050463057792848494,0.1513891733785455,9600,24,50,"E_c:L_c at D=6, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=-1;E_c:L_c:C(depth, Sum)[S.2]=-1;E_c:L_c:C(depth, Sum)[S.3]=-1;E_c:L_c:C(depth, Sum)[S.4]=-1",0.010869606553448423,0.0017736887753306621,0.0073932404340173695,0.014345972672879476,8.885143068424543e-10,4.4425715342122716e-09,9600,24,50,"E_c:L_c at D=6, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=-1;E_c:L_c:C(depth, Sum)[S.2]=-1;E_c:L_c:C(depth, Sum)[S.3]=-1;E_c:L_c:C(depth, Sum)[S.4]=-1",0.007423976003721765,0.002499808713874652,0.0025244409562880533,0.012323511051155476,0.0029797658232356377,0.0027839910013956618,0.459426958231781
