depth,estimate_original,se_original,ci_lo_original,ci_hi_original,p_raw_original,p_holm_within_dataset_original,n_rows_original,n_matched_parameters_per_initialization_original,n_initialization_clusters_original,contrast_expression_original,contrast_vector_nonzero_original,estimate_seed,se_seed,ci_lo_seed,ci_hi_seed,p_raw_seed,p_holm_within_dataset_seed,n_rows_seed,n_matched_parameters_per_initialization_seed,n_initialization_clusters_seed,contrast_expression_seed,contrast_vector_nonzero_seed,difference_seed_minus_original,difference_se,difference_ci_lo,difference_ci_hi,difference_p_raw,observation_weighted_difference_contribution,absolute_contribution_fraction
1,-0.0052507033508733,0.0043149079254809,-0.0137077674814223,0.0032063607796757,0.2236517991688844,0.4473035983377689,1600,4,50,"E_c:L_c at D=1, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=1",0.0018622672726539,0.0043446324620621,-0.0066530558790513,0.0103775904243592,0.668187909308608,0.668187909308608,1600,4,50,"E_c:L_c at D=1, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=1",0.0071129706235272,0.0061232558035559,-0.0048883902195682,0.0191143314666228,0.2453849289645033,0.0004445606639704,0.073363438852732
2,-0.0035794981622444,0.0030511006543031,-0.0095595455578851,0.0024005492333962,0.2407225929142017,0.4473035983377689,3200,8,50,"E_c:L_c at D=2, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.2]=1",0.003119779483297,0.0030721190756873,-0.0029014632612685,0.0091410222278627,0.3098609458584406,0.6197218917168812,3200,8,50,"E_c:L_c at D=2, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.2]=1",0.0066992776455415,0.0043297957016343,-0.001786965990078,0.015185521281161,0.121802904028701,0.0008374097056926,0.1381931887306001
3,0.0125883062961513,0.0024912132523048,0.0077056180438249,0.0174709945484777,4.347358095557703e-07,2.173679047778852e-06,4800,12,50,"E_c:L_c at D=3, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.3]=1",0.006249973906829,0.0025083747215015,0.0013336497929553,0.0111662980207027,0.0127153828861702,0.0381461486585107,4800,12,50,"E_c:L_c at D=3, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.3]=1",-0.0063383323893223,0.0035352633864999,-0.0132673213027253,0.0005906565240807,0.0729907853393799,-0.0011884373229979,0.1961213754212361
4,0.004663936570762,0.0021574539627404,0.0004354045054875,0.0088924686360365,0.0306352899499047,0.1225411597996189,6400,16,50,"E_c:L_c at D=4, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.4]=1",0.0078851545286466,0.002172316231031,0.003627492952794,0.0121428161044993,0.0002835998981378,0.0011343995925512,6400,16,50,"E_c:L_c at D=4, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.4]=1",0.0032212179578846,0.0030616279017779,-0.0027794624636631,0.0092218983794324,0.2927417987297795,0.0008053044894711,0.1328950387636508
6,0.0034456305497266,0.0017615537840865,-6.951423913234642e-06,0.0068982125233665,0.0504630577928484,0.1513891733785455,9600,24,50,"E_c:L_c at D=6, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=-1;E_c:L_c:C(depth, Sum)[S.2]=-1;E_c:L_c:C(depth, Sum)[S.3]=-1;E_c:L_c:C(depth, Sum)[S.4]=-1",0.0108696065534484,0.0017736887753306,0.0073932404340173,0.0143459726728794,8.885143068424543e-10,4.4425715342122716e-09,9600,24,50,"E_c:L_c at D=6, averaged equally over R_c","E_c:L_c=1;E_c:L_c:C(depth, Sum)[S.1]=-1;E_c:L_c:C(depth, Sum)[S.2]=-1;E_c:L_c:C(depth, Sum)[S.3]=-1;E_c:L_c:C(depth, Sum)[S.4]=-1",0.0074239760037217,0.0024998087138746,0.002524440956288,0.0123235110511554,0.0029797658232356,0.0027839910013956,0.459426958231781
