excluded_initialization_id,converged,n_obs,wallclock_s,estimate,se,p
0,True,99858,14.7533860206604,-0.1519832550555869,0.012218199403134759,0.0
1,True,99849,15.50286054611206,-0.1375701560055181,0.0122107495806639,0.0
2,True,99847,16.66125512123108,-0.15718544418320732,0.012218038974859577,0.0
3,True,99846,17.324634790420532,-0.1475918780162062,0.012227625827150174,0.0
4,True,99857,17.39639639854431,-0.1288905180907971,0.01211738125909421,0.0
5,True,99854,13.782881021499634,-0.1467659356737154,0.012218110996211168,0.0
6,True,99848,17.51926016807556,-0.1597890886127547,0.01220189041934351,0.0
7,True,99862,14.69440484046936,-0.16544182570145927,0.012187668224427595,0.0
8,True,99849,15.664773225784302,-0.15308283951015328,0.012242342500412938,0.0
9,True,99845,15.30417776107788,-0.1554934467492545,0.012234815624218897,0.0
10,True,99844,16.9552321434021,-0.16234634973080173,0.012185237534401809,0.0
11,True,99848,16.746557235717773,-0.13701070705129048,0.012157848714812534,0.0
12,True,99851,17.980774641036987,-0.14540250608172214,0.012157978429894415,0.0
13,True,99847,17.00056290626526,-0.15839094762473183,0.012205401198800803,0.0
14,True,99883,14.786816120147705,-0.1350427842351421,0.01215756462128064,0.0
15,True,99843,15.984411716461182,-0.15564620123795045,0.012243078617156565,0.0
16,True,99847,15.113732099533081,-0.16801083541278455,0.012206784003709167,0.0
17,True,99848,17.522825002670288,-0.15158496181177109,0.0122106766783307,0.0
18,True,99854,13.79853105545044,-0.14046864401082682,0.012189507390607937,0.0
19,True,99859,16.506435871124268,-0.12182008773579074,0.012118443829135727,0.0
20,True,99853,17.552836656570435,-0.15985330787089988,0.012196624316559773,0.0
21,True,99843,19.535278797149658,-0.15292777573336566,0.012214683059170233,0.0
22,True,99843,15.438265323638916,-0.1681675799247976,0.012205572235080635,0.0
23,True,99847,17.432384967803955,-0.15083764051487986,0.012217861028225342,0.0
24,True,99857,17.586427688598633,-0.14188992036934697,0.012148067774506999,0.0
25,True,99844,16.57052731513977,-0.1407310089658978,0.012217892578242242,0.0
26,True,99844,14.585371017456055,-0.14967228100782165,0.012239169276143515,0.0
27,True,99843,14.658776044845581,-0.16316972869598467,0.012201926895430036,0.0
28,True,99868,17.978962182998657,-0.14884946974098504,0.012203943899601123,0.0
29,True,99859,15.301668643951416,-0.14218819676064515,0.012178434533209414,0.0
30,True,99849,17.753735780715942,-0.15706875276466073,0.012210966315228283,0.0
31,True,99849,15.78902816772461,-0.15137640976821787,0.012253653480077453,0.0
32,True,99865,17.755824089050293,-0.1722116947476536,0.012187752707537466,0.0
33,True,99878,18.71519374847412,-0.14473777035339744,0.012214917160826452,0.0
34,True,99846,14.59481930732727,-0.14801740997248283,0.012224348518678948,0.0
35,True,99869,17.637206315994263,-0.1359681654351378,0.012184885009856703,0.0
36,True,99868,17.503186464309692,-0.13119983591883652,0.012157697828355542,0.0
37,True,99854,15.357717990875244,-0.17086502453766603,0.012175214967199883,0.0
38,True,99856,16.957183122634888,-0.16015401757020112,0.012237654510909425,0.0
39,True,99863,14.509055137634277,-0.13774133062544738,0.012229251110836925,0.0
40,True,99849,17.57526135444641,-0.15415572071851227,0.01222370293579463,0.0
41,True,99848,17.61636447906494,-0.16522856915490772,0.01220304395971643,0.0
42,True,99863,18.991318941116333,-0.1333873042200833,0.012107667351254984,0.0
43,True,99846,16.36036968231201,-0.14307990159848274,0.012214171280727342,0.0
44,True,99852,18.342061042785645,-0.14307637301537332,0.012196568563006346,0.0
45,True,99857,15.464051723480225,-0.14236817617805358,0.012219363198723122,0.0
46,True,99843,16.26340126991272,-0.14954299695282133,0.012214697819589464,0.0
47,True,99848,16.17765998840332,-0.16332339928266762,0.012210960618746361,0.0
48,True,99867,17.62015151977539,-0.13079075200514456,0.012166510245394136,0.0
49,True,99849,16.886523485183716,-0.16131048333401807,0.012222212136177664,0.0
