method,coefficient,estimate,se_cluster_robust,ci95_lo,ci95_hi,p_unadjusted,n_obs,n_clusters
cluster_robust_ols_initialization_level,E:L,0.023549814578715227,0.023106938407130188,-0.021738952492245268,0.06883858164967573,0.3081239886216075,101891,50
cluster_robust_ols_initialization_level,E:R,-0.0013289724683078115,0.014776914276631843,-0.030291192253141967,0.027633247316526346,0.9283382933633234,101891,50
cluster_robust_ols_initialization_level,L:R:depth_z,-0.011015877610020156,0.008517311641594019,-0.027709501672648157,0.0056777464526078444,0.19588952349176314,101891,50
