budget_stratum,coefficient,estimate,se,ci95_lo,ci95_hi,n_obs,converged,singular_fit,error
B<=500,E:L,0.025649237493742004,0.00813452799830937,0.009705855585822942,0.04159261940166106,50840,True,False,
B<=500,E:R,0.00021924276130034704,0.008157056884411667,-0.015768294951991023,0.016206780474591717,50840,True,False,
B<=500,L:R:depth_z,-0.012094876329421226,0.005996262515657606,-0.023847334901957673,-0.00034241775688477645,50840,True,False,
B>500,E:L,0.02465900572829684,0.011863681295234886,0.0014066176655749656,0.04791139379101872,51051,True,False,
B>500,E:R,-0.0019210763940693291,0.01187713836181362,-0.025199839822623082,0.021357687034484422,51051,True,False,
B>500,L:R:depth_z,-0.008214599123297077,0.008734108429750786,-0.025333137082676302,0.008903938836082148,51051,True,False,
