coefficient,estimate_logodds,se,ci95_lo,ci95_hi,p_unadjusted,odds_ratio
E:L,-3.301734912501068,2265.084379829498,-4442.785541322562,4436.182071497559,0.9988369517705021,0.036819233808667355
E:R,-0.04543612468198045,0.21538762282968765,-0.46758810814386537,0.3767158587799045,0.8329259047898863,0.955580638639771
L:R:depth_z,-2.9033476122585937,2370.175879203065,-4648.362707875824,4642.556012651306,0.9990226313264501,0.054839331615767054
L,-21.759520499859814,3318.722314108045,-6526.335730841052,6482.816689841333,0.994768630990428,3.54780971037006e-10
