hypothesis,coefficient_label,coefficient_name,outcome_scale,estimate,standard_error,wald_statistic,p_unadjusted,p_value_method,bootstrap_ci_lo,bootstrap_ci_hi,p_holm,reject_after_holm,family_wise_alpha,interpretation
H1,eta_EL,E:L,asinh(abs(exact_gradient)),0.004345925498518687,0.001529141060649773,2.8420697150542713,0.004482168916526863,wald_normal,,,0.013446506749580589,True,0.05,Rejected H0 (two-sided); bootstrap CI direction not conclusive.
H2,beta_EL,E:L,asinh(SNR_est),0.024995843985971582,0.007279011371641417,3.4339613870303682,0.0005948289235313542,wald_normal,,,0.0023793156941254168,True,0.05,Rejected H0 (two-sided); bootstrap CI direction not conclusive.
H3,beta_ER,E:R,asinh(SNR_est),-0.0009575787575784316,0.007292917086826747,-0.13130257017567273,0.8955359586892191,wald_normal,,,0.8955359586892191,False,0.05,"Failed to reject H0 after Holm correction; this is not evidence of additivity, equivalence, or that the interventions have identical effects."
H4,beta_LRd,L:R:depth_z,asinh(SNR_est),-0.010178757716721849,0.005362074992735445,-1.8982870867177464,0.05765827411115354,wald_normal,,,0.11531654822230708,False,0.05,"Failed to reject H0 after Holm correction; this is not evidence of additivity, equivalence, or that the interventions have identical effects."
