stream,shard_seed,iteration,rng_key,status,failure_reason,pooling_status,git_commit,input_file_sha256,software_versions
shard0,366001,18,"(366001, 18)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,19,"(366001, 19)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,20,"(366001, 20)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,21,"(366001, 21)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,22,"(366001, 22)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,23,"(366001, 23)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,24,"(366001, 24)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,25,"(366001, 25)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,26,"(366001, 26)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
shard0,366001,27,"(366001, 27)",completed,,pooled (real draws),3f4c04e3b0cdcca44c63043566057eb9537182f5,"{""finite_shot_end_to_end.parquet"": ""22b5e761f461c6bfde7a60a4efa7ac13bc59ae003488be84d2f0c1e57ddb7f39""}","{""python"": ""3.12.10"", ""numpy"": ""2.5.1"", ""pandas"": ""3.0.3"", ""statsmodels"": ""0.14.6"", ""scipy"": ""1.18.0""}"
