coefficient,n_pooled,n_failed,fit_failure_rate_pct,median,ci_lo,ci_hi,width,includes_zero
E:L,443,0,0.0,0.023685464808045162,-0.018024348208322244,0.06568788799503045,0.08371223620335269,True
E:R,443,0,0.0,-0.001867683764423784,-0.03029827559923618,0.02447836068389627,0.05477663628313245,True
L:R:depth_z,443,0,0.0,-0.010811262668291884,-0.02697505065417311,0.006403112140260393,0.0333781627944335,True
