dataset,estimand,estimate,percent_above_one,bootstrap_median,ci_lo,ci_hi,completed,failed
original,J_EL_given_R0,1.2417603765323095,24.176037653230953,1.2386742193044422,1.0822096652259177,1.414863720654239,2000,0
original,J_EL_given_R1,1.1266328763644053,12.663287636440534,1.1243286928424672,0.9913313108894982,1.2851519618383114,2000,0
independent_seed,J_EL_given_R0,1.1632192784916497,16.321927849164975,1.160948575134119,1.007099980063186,1.352596352337025,2000,0
independent_seed,J_EL_given_R1,1.2421368814704552,24.21368814704552,1.2381574864575047,1.0498742961154315,1.4492578287923135,2000,0
