configuration_id,depth,budget,median_SNR_est,iqr_SNR_est,rms_SNR_est,fraction_SNR_est_geq_1,fraction_ci_excludes_zero,median_SNR_exact,median_absolute_bias,iqr_absolute_bias,sign_agreement_fraction,rms_exact_gradient_magnitude,exact_gradient_landscape_variance_across_inits,final_tfim_energy_mean,global_fidelity_mean,mean_entanglement_entropy,mean_purity,n_matched_observations,total_circuit_evaluations_mean
1,1,250,0.5928871321888775,1.1148758683619073,1.8460857753751727,0.3557422969187675,0.5975,0.5386297968066557,0.001769633295764228,0.003805781388581962,0.8225,0.0692260798908368,0.0018514884565214663,0.13435544892917903,0.046720832118519864,0.8139454004718933,0.6437681018293685,400,250.0
1,1,500,0.8346705812586299,1.4909718513541903,2.4118276071652844,0.4155495978552279,0.6825,0.726905133551645,0.0009801020889226855,0.0024620354610253694,0.8875,0.0692260798908368,0.0018514884565214663,0.13435544892917903,0.046720832118519864,0.8139454004718933,0.6437681018293685,400,500.0
1,1,1000,1.0286146035328634,2.234140533184426,3.5850002007955966,0.5079787234042553,0.755,0.9913672750160596,0.0007300913721442314,0.0017879328047632427,0.9075,0.0692260798908368,0.0018514884565214663,0.13435544892917903,0.046720832118519864,0.8139454004718933,0.6437681018293685,400,1000.0
1,1,2000,1.4395485159120034,2.9696396163788097,5.034611856476227,0.6020942408376964,0.785,1.3967654124929547,0.0004708109785867325,0.0012099380001041238,0.92,0.0692260798908368,0.0018514884565214663,0.13435544892917903,0.046720832118519864,0.8139454004718933,0.6437681018293685,400,2000.0
1,2,250,0.4130232866245167,0.7928455030957176,1.1675634776151178,0.23904382470119523,0.515,0.399168124003771,0.002595219652226744,0.005953992274466669,0.80375,0.078852194335134,0.0019744171618856178,-0.13630277378988237,0.0817185084866797,0.8122038363968308,0.6437683767894843,800,250.0
1,2,500,0.5527906673893472,1.1260100920073768,1.744720928243065,0.3241469816272966,0.58875,0.550551364996901,0.0019055582940661498,0.004087658029335728,0.8125,0.078852194335134,0.0019744171618856178,-0.13630277378988237,0.0817185084866797,0.8122038363968308,0.6437683767894843,800,500.0
1,2,1000,0.7647049513056914,1.6377753808510374,2.4163679030591183,0.4375804375804376,0.63875,0.7918345897816862,0.0012518970161624757,0.0029667045949220263,0.865,0.078852194335134,0.0019744171618856178,-0.13630277378988237,0.0817185084866797,0.8122038363968308,0.6437683767894843,800,1000.0
1,2,2000,1.113719433493548,2.3224007267108324,3.2293273316859206,0.5210191082802548,0.7025,1.1106955300982364,0.0007444549358037169,0.002058124426312774,0.8975,0.078852194335134,0.0019744171618856178,-0.13630277378988237,0.0817185084866797,0.8122038363968308,0.6437683767894843,800,2000.0
1,3,250,0.2627691364061218,0.4129927652360277,0.7402949563851868,0.10785159620362382,0.39666666666666667,0.19924295306432543,0.0032879402059978417,0.007888722112978844,0.755,0.06852865813642513,0.0013472162626924642,-0.18535547958932067,0.07382416056180402,0.7534295393504848,0.6748876886766462,1200,250.0
1,3,500,0.3449207660852211,0.607002982092317,1.0684942841403575,0.18717948717948718,0.49333333333333335,0.2819841267081523,0.0019784946359151807,0.004940199216919257,0.8108333333333333,0.06852865813642513,0.0013472162626924642,-0.18535547958932067,0.07382416056180402,0.7534295393504848,0.6748876886766462,1200,500.0
1,3,1000,0.45570178996622446,0.8984826994119267,1.530880801259573,0.26949152542372884,0.5675,0.4399719227088018,0.001265317592631124,0.003697299118393362,0.8491666666666666,0.06852865813642513,0.0013472162626924642,-0.18535547958932067,0.07382416056180402,0.7534295393504848,0.6748876886766462,1200,1000.0
