hypothesis,coefficient_label,p_unadjusted,p_holm,reject_after_holm,family_wise_alpha
H1,eta_EL,0.004482168916526863,0.013446506749580589,True,0.05
H2,beta_EL,0.0005948289235313542,0.0023793156941254168,True,0.05
H3,beta_ER,0.8955359586892191,0.8955359586892191,False,0.05
H4,beta_LRd,0.05765827411115354,0.11531654822230708,False,0.05
