dataset,configuration_id,E,L,R,depth,metric,n,mean,median,sd,q1,q3,iqr,minimum,maximum,bootstrap_median,bootstrap_ci_lo,bootstrap_ci_hi
independent_seed,1,0,0,0,1,normalized_prepared_state_energy,50,0.48502404235416585,0.4736545027667587,0.1638961379422696,0.3631158252910557,0.598181756540028,0.23506593124897235,0.10353968224816737,0.9145671384309759,0.484069506815453,0.43936280631888086,0.5298963804462608
independent_seed,1,0,0,0,1,prepared_state_fidelity,50,0.04684402591524315,0.011961765267890142,0.08997925835813878,0.005049391286680855,0.03415165517137219,0.029102263884691337,1.7582719730738893e-06,0.4218669130084423,0.045438586038819756,0.024592656521368512,0.07231493877276964
independent_seed,1,0,0,0,2,normalized_prepared_state_energy,50,0.5213527216569093,0.5278680790568644,0.1603050447298152,0.4074829680920339,0.6491741580845958,0.2416911899925619,0.2154566484702327,0.8369840120883104,0.522102903501475,0.47742888390527755,0.5651200018665833
independent_seed,1,0,0,0,2,prepared_state_fidelity,50,0.06346758783117996,0.020138223523362028,0.0971725829400142,0.003216197541648609,0.08772105596419785,0.08450485842254925,7.006766521121853e-10,0.41016992470338176,0.06202056322327583,0.03895584539360801,0.09201360465377402
independent_seed,1,0,0,0,3,normalized_prepared_state_energy,50,0.5441944424434197,0.5403027114422809,0.14296827750975,0.45288146277199437,0.6386701700671193,0.18578870729512498,0.23901761993186416,0.8635888483013693,0.5443266662264301,0.5053193716068933,0.5820330060546525
independent_seed,1,0,0,0,3,prepared_state_fidelity,50,0.037912292651439555,0.009973150030996785,0.05950102953916795,0.0012967693291142876,0.0430222285258538,0.04172545919673951,5.709619090000572e-06,0.28409726477613134,0.03715500602007899,0.02274564645664833,0.05496777838024101
independent_seed,1,0,0,0,4,normalized_prepared_state_energy,50,0.45716291370733964,0.4625717914943913,0.19312643926494374,0.32714826593458857,0.5850774378821494,0.2579291719475608,0.07889557169011809,0.826809289345519,0.45675236728212487,0.4031992588372894,0.5092634111482296
independent_seed,1,0,0,0,4,prepared_state_fidelity,50,0.09623798657327289,0.011541405423666572,0.17911742967776054,0.0013346366184339214,0.09910525107039869,0.09777061445196478,1.6979400685198567e-05,0.7896645864795548,0.09464398713950219,0.05111047785689732,0.14926819765205715
independent_seed,1,0,0,0,6,normalized_prepared_state_energy,50,0.48714612709736366,0.4871018673566787,0.1396693266718407,0.37842534440480197,0.6143043292743925,0.23587898486959052,0.14777316716700173,0.7481480014778313,0.48752351787146475,0.44684892534802584,0.5249827477835598
independent_seed,1,0,0,0,6,prepared_state_fidelity,50,0.07129119400484545,0.015305295361724244,0.13535925667310977,0.0016593757536498674,0.06458701554295837,0.0629276397893085,2.8844279763647966e-08,0.6342375318951339,0.06993946485732669,0.0372701554132574,0.11252656150184409
independent_seed,2,1,0,0,1,normalized_prepared_state_energy,50,0.48365098645003635,0.4900901650913806,0.18313920793480062,0.3418834505943512,0.6056108694345039,0.2637274188401527,0.1446942418693387,0.8817956683827394,0.4834190731699922,0.4350268359251867,0.5323907162436112
independent_seed,2,1,0,0,1,prepared_state_fidelity,50,0.06380836766026202,0.020814332676343444,0.10184404955378373,0.0059101067535432435,0.055577032687163935,0.049666925933620695,2.410276187406362e-07,0.38992671860219325,0.06327029877987553,0.03803343540975389,0.09206601799481903
independent_seed,2,1,0,0,2,normalized_prepared_state_energy,50,0.5038799998508169,0.49220608425188905,0.15013037330346343,0.409424396663707,0.606636076885054,0.19721168022134705,0.2023132999529696,0.896907455370457,0.5027036612247037,0.46365962042177444,0.5441134480276419
independent_seed,2,1,0,0,2,prepared_state_fidelity,50,0.0490429542944434,0.01188863352708035,0.09223048429972898,0.00393412927601701,0.03914586366917972,0.03521173439316271,4.830703656729865e-06,0.4371258698573501,0.04834684423957927,0.026217475104298938,0.07736891667291873
independent_seed,2,1,0,0,3,normalized_prepared_state_energy,50,0.5098353372004639,0.5035913870011132,0.16256730544909476,0.3990253891966498,0.6150855955904626,0.2160602063938128,0.19773263409267808,0.8885180424290369,0.511009689611335,0.4654579641990094,0.5565720424421468
independent_seed,2,1,0,0,3,prepared_state_fidelity,50,0.03806636974474367,0.009311380923378125,0.056682583068238354,0.00197222684662998,0.06355872378071277,0.06158649693408279,4.6842294302620544e-08,0.24427199700758914,0.03732846139599687,0.023360966427430244,0.05444752232983761
independent_seed,2,1,0,0,4,normalized_prepared_state_energy,50,0.5127603105292315,0.5381786313366126,0.15536013613809224,0.4066624181231845,0.6209884388369544,0.21432602071376994,0.18293563843956548,0.8338551047677891,0.5141154446027576,0.4713918815581462,0.5543533049261635
independent_seed,2,1,0,0,4,prepared_state_fidelity,50,0.06412711142927788,0.017454323776276204,0.10961452881038342,0.004699503083337992,0.06760581950619785,0.06290631642285985,2.166942304688176e-05,0.506566715239427,0.06303470143492602,0.037512912310997217,0.09637415839899426
independent_seed,2,1,0,0,6,normalized_prepared_state_energy,50,0.49149314007890493,0.5082914085619736,0.12904884418868698,0.4085236493187267,0.5694736041744761,0.16094995485574942,0.20772966679858318,0.7162967994834907,0.4913388150941399,0.4563794605557108,0.5275424437212548
independent_seed,2,1,0,0,6,prepared_state_fidelity,50,0.06040805756021538,0.022771260625503845,0.0792553310851412,0.007442144585605883,0.08435747228008375,0.07691532769447787,3.537075906183023e-08,0.3040415389479408,0.05977731492947576,0.040321676466366536,0.08248239815814305
independent_seed,3,0,1,0,1,normalized_prepared_state_energy,50,0.48502404235416585,0.4736545027667587,0.1638961379422696,0.3631158252910557,0.598181756540028,0.23506593124897235,0.10353968224816737,0.9145671384309759,0.484069506815453,0.43936280631888086,0.5298963804462608
independent_seed,3,0,1,0,1,prepared_state_fidelity,50,0.04684402591524315,0.011961765267890142,0.08997925835813878,0.005049391286680855,0.03415165517137219,0.029102263884691337,1.7582719730738893e-06,0.4218669130084423,0.045438586038819756,0.024592656521368512,0.07231493877276964
independent_seed,3,0,1,0,2,normalized_prepared_state_energy,50,0.5213527216569093,0.5278680790568644,0.1603050447298152,0.4074829680920339,0.6491741580845958,0.2416911899925619,0.2154566484702327,0.8369840120883104,0.522102903501475,0.47742888390527755,0.5651200018665833
independent_seed,3,0,1,0,2,prepared_state_fidelity,50,0.06346758783117996,0.020138223523362028,0.0971725829400142,0.003216197541648609,0.08772105596419785,0.08450485842254925,7.006766521121853e-10,0.41016992470338176,0.06202056322327583,0.03895584539360801,0.09201360465377402
independent_seed,3,0,1,0,3,normalized_prepared_state_energy,50,0.5441944424434197,0.5403027114422809,0.14296827750975,0.45288146277199437,0.6386701700671193,0.18578870729512498,0.23901761993186416,0.8635888483013693,0.5443266662264301,0.5053193716068933,0.5820330060546525
independent_seed,3,0,1,0,3,prepared_state_fidelity,50,0.037912292651439555,0.009973150030996785,0.05950102953916795,0.0012967693291142876,0.0430222285258538,0.04172545919673951,5.709619090000572e-06,0.28409726477613134,0.03715500602007899,0.02274564645664833,0.05496777838024101
independent_seed,3,0,1,0,4,normalized_prepared_state_energy,50,0.45716291370733964,0.4625717914943913,0.19312643926494374,0.32714826593458857,0.5850774378821494,0.2579291719475608,0.07889557169011809,0.826809289345519,0.45675236728212487,0.4031992588372894,0.5092634111482296
independent_seed,3,0,1,0,4,prepared_state_fidelity,50,0.09623798657327289,0.011541405423666572,0.17911742967776054,0.0013346366184339214,0.09910525107039869,0.09777061445196478,1.6979400685198567e-05,0.7896645864795548,0.09464398713950219,0.05111047785689732,0.14926819765205715
independent_seed,3,0,1,0,6,normalized_prepared_state_energy,50,0.48714612709736366,0.4871018673566787,0.1396693266718407,0.37842534440480197,0.6143043292743925,0.23587898486959052,0.14777316716700173,0.7481480014778313,0.48752351787146475,0.44684892534802584,0.5249827477835598
independent_seed,3,0,1,0,6,prepared_state_fidelity,50,0.07129119400484545,0.015305295361724244,0.13535925667310977,0.0016593757536498674,0.06458701554295837,0.0629276397893085,2.8844279763647966e-08,0.6342375318951339,0.06993946485732669,0.0372701554132574,0.11252656150184409
independent_seed,4,0,0,1,1,normalized_prepared_state_energy,50,0.48502404235416585,0.4736545027667587,0.1638961379422696,0.3631158252910557,0.598181756540028,0.23506593124897235,0.10353968224816737,0.9145671384309759,0.484069506815453,0.43936280631888086,0.5298963804462608
independent_seed,4,0,0,1,1,prepared_state_fidelity,50,0.04684402591524315,0.011961765267890142,0.08997925835813878,0.005049391286680855,0.03415165517137219,0.029102263884691337,1.7582719730738893e-06,0.4218669130084423,0.045438586038819756,0.024592656521368512,0.07231493877276964
independent_seed,4,0,0,1,2,normalized_prepared_state_energy,50,0.5213527216569093,0.5278680790568644,0.1603050447298152,0.4074829680920339,0.6491741580845958,0.2416911899925619,0.2154566484702327,0.8369840120883104,0.522102903501475,0.47742888390527755,0.5651200018665833
independent_seed,4,0,0,1,2,prepared_state_fidelity,50,0.06346758783117996,0.020138223523362028,0.0971725829400142,0.003216197541648609,0.08772105596419785,0.08450485842254925,7.006766521121853e-10,0.41016992470338176,0.06202056322327583,0.03895584539360801,0.09201360465377402
independent_seed,4,0,0,1,3,normalized_prepared_state_energy,50,0.5537071832731149,0.5502594740384839,0.15189606699543973,0.4512685776295603,0.6454936906718198,0.19422511304225953,0.08769395660433092,0.8957209350309546,0.5541820631270851,0.5114969067497056,0.5956192983804778
independent_seed,4,0,0,1,3,prepared_state_fidelity,50,0.032170060809081295,0.009713063444061459,0.05254371064794081,0.000839434345161607,0.030306066637311044,0.029466632292149436,1.2352665160653317e-08,0.2116620928065441,0.031661759210089874,0.01882922639635977,0.047435985577189865
independent_seed,4,0,0,1,4,normalized_prepared_state_energy,50,0.4560893153289072,0.440782519964546,0.17028624318860366,0.3662877932388797,0.5788063852759142,0.2125185920370345,0.09672262679850206,0.7778200991858273,0.4554670151482199,0.40912384069041485,0.5019082706526692
independent_seed,4,0,0,1,4,prepared_state_fidelity,50,0.08829933911682472,0.010358310290937334,0.15772193851967858,0.0015800205548184725,0.11738258730513171,0.11580256675031324,4.67468086980627e-06,0.8066124247685246,0.08752796115025765,0.05020750547376706,0.1362180045052949
independent_seed,4,0,0,1,6,normalized_prepared_state_energy,50,0.48683571199603326,0.5131466388076975,0.14903419422000647,0.38302515412020033,0.5945043696047803,0.21147921548457993,0.1416875129451532,0.8612444173164244,0.48702286550776963,0.4449535554028037,0.5262473184600436
independent_seed,4,0,0,1,6,prepared_state_fidelity,50,0.07890465479439888,0.02001639002192801,0.1489046547677395,0.003302222791634474,0.08069485741180304,0.07739263462016857,1.4699887544722445e-07,0.6528123396335986,0.07656000022284079,0.04189632604201545,0.12177816173725702
independent_seed,5,1,1,0,1,normalized_prepared_state_energy,50,0.48365098645003635,0.4900901650913806,0.18313920793480062,0.3418834505943512,0.6056108694345039,0.2637274188401527,0.1446942418693387,0.8817956683827394,0.4834190731699922,0.4350268359251867,0.5323907162436112
independent_seed,5,1,1,0,1,prepared_state_fidelity,50,0.06380836766026202,0.020814332676343444,0.10184404955378373,0.0059101067535432435,0.055577032687163935,0.049666925933620695,2.410276187406362e-07,0.38992671860219325,0.06327029877987553,0.03803343540975389,0.09206601799481903
