dataset,configuration_id,E,L,R,depth,metric,n,mean,median,sd,q1,q3,iqr,minimum,maximum,bootstrap_median,bootstrap_ci_lo,bootstrap_ci_hi
independent_seed,1,0,0,0,1,prepared_state_energy,50,-0.10264623473263469,-0.18057383421510326,1.1233553035370774,-0.938213465919203,0.6729444531430988,1.6111579190623018,-2.7173660476697186,2.841471431088057,-0.10918868639312093,-0.4156114596018343,0.204911829848601
independent_seed,1,0,0,0,1,normalized_prepared_state_energy,50,0.48502404235416585,0.4736545027667587,0.1638961379422696,0.3631158252910557,0.598181756540028,0.23506593124897235,0.10353968224816737,0.9145671384309759,0.484069506815453,0.43936280631888086,0.5298963804462608
independent_seed,1,0,0,0,1,prepared_state_fidelity,50,0.04684402591524315,0.011961765267890142,0.08997925835813878,0.005049391286680855,0.03415165517137219,0.029102263884691337,1.7582719730738893e-06,0.4218669130084423,0.045438586038819756,0.024592656521368512,0.07231493877276964
independent_seed,1,0,0,0,1,prepared_state_infidelity,50,0.9531559740847568,0.9880382347321099,0.08997925835813876,0.9658483448286278,0.9949506087133191,0.029102263884691282,0.5781330869915577,0.9999982417280269,0.9545614139611804,0.9276850612272305,0.9754073434786313
independent_seed,1,0,0,0,2,prepared_state_energy,50,0.1463530100183872,0.19100971384051874,1.098741705826022,-0.6341180443063934,1.022449849880144,1.6565678941865374,-1.950279530929335,2.3097113936873033,0.15149480752680028,-0.1547039685626304,0.4463369325330756
independent_seed,1,0,0,0,2,normalized_prepared_state_energy,50,0.5213527216569093,0.5278680790568644,0.1603050447298152,0.4074829680920339,0.6491741580845958,0.2416911899925619,0.2154566484702327,0.8369840120883104,0.522102903501475,0.47742888390527755,0.5651200018665833
independent_seed,1,0,0,0,2,prepared_state_fidelity,50,0.06346758783117996,0.020138223523362028,0.0971725829400142,0.003216197541648609,0.08772105596419785,0.08450485842254925,7.006766521121853e-10,0.41016992470338176,0.06202056322327583,0.03895584539360801,0.09201360465377402
independent_seed,1,0,0,0,2,prepared_state_infidelity,50,0.9365324121688201,0.979861776476638,0.0971725829400142,0.9122789440358021,0.9967838024583514,0.08450485842254929,0.5898300752966182,0.9999999992993234,0.9379794367767242,0.9079863953462259,0.961044154606392
independent_seed,1,0,0,0,3,prepared_state_energy,50,0.3029117215877703,0.27623753197624423,0.9799143213167667,-0.32295366659971964,0.9504547998693976,1.2734084664691172,-1.788791026195732,2.4920627549512413,0.3038179924112523,0.03645933565678739,0.5622598163297937
independent_seed,1,0,0,0,3,normalized_prepared_state_energy,50,0.5441944424434197,0.5403027114422809,0.14296827750975,0.45288146277199437,0.6386701700671193,0.18578870729512498,0.23901761993186416,0.8635888483013693,0.5443266662264301,0.5053193716068933,0.5820330060546525
independent_seed,1,0,0,0,3,prepared_state_fidelity,50,0.037912292651439555,0.009973150030996785,0.05950102953916795,0.0012967693291142876,0.0430222285258538,0.04172545919673951,5.709619090000572e-06,0.28409726477613134,0.03715500602007899,0.02274564645664833,0.05496777838024101
independent_seed,1,0,0,0,3,prepared_state_infidelity,50,0.9620877073485604,0.9900268499690033,0.05950102953916794,0.9569777714741462,0.9987032306708857,0.041725459196739534,0.7159027352238687,0.99999429038091,0.9628449939799212,0.9450322216197591,0.9772543535433518
independent_seed,1,0,0,0,4,prepared_state_energy,50,-0.2936083099888888,-0.256535492870961,1.3237017816607954,-1.184737569938078,0.5831265596381701,1.767864129576248,-2.8862784616162274,2.2399731503178346,-0.2964222231774701,-0.6634788795923534,0.06349205156910709
independent_seed,1,0,0,0,4,normalized_prepared_state_energy,50,0.45716291370733964,0.4625717914943913,0.19312643926494374,0.32714826593458857,0.5850774378821494,0.2579291719475608,0.07889557169011809,0.826809289345519,0.45675236728212487,0.4031992588372894,0.5092634111482296
independent_seed,1,0,0,0,4,prepared_state_fidelity,50,0.09623798657327289,0.011541405423666572,0.17911742967776054,0.0013346366184339214,0.09910525107039869,0.09777061445196478,1.6979400685198567e-05,0.7896645864795548,0.09464398713950219,0.05111047785689732,0.14926819765205715
independent_seed,1,0,0,0,4,prepared_state_infidelity,50,0.9037620134267271,0.9884585945763333,0.17911742967776054,0.9008947489296013,0.9986653633815661,0.09777061445196478,0.21033541352044516,0.9999830205993148,0.9053560128604978,0.8507318023479431,0.9488895221431028
independent_seed,1,0,0,0,6,prepared_state_energy,50,-0.08810132122365377,-0.08840468050384076,0.9573030873584729,-0.8332809781440063,0.7834496658662329,1.6167306440102391,-2.414186726293625,1.7008233203178804,-0.08551465912828626,-0.3643010893888269,0.17123345657770314
independent_seed,1,0,0,0,6,normalized_prepared_state_energy,50,0.48714612709736366,0.4871018673566787,0.1396693266718407,0.37842534440480197,0.6143043292743925,0.23587898486959052,0.14777316716700173,0.7481480014778313,0.48752351787146475,0.44684892534802584,0.5249827477835598
independent_seed,1,0,0,0,6,prepared_state_fidelity,50,0.07129119400484545,0.015305295361724244,0.13535925667310977,0.0016593757536498674,0.06458701554295837,0.0629276397893085,2.8844279763647966e-08,0.6342375318951339,0.06993946485732669,0.0372701554132574,0.11252656150184409
independent_seed,1,0,0,0,6,prepared_state_infidelity,50,0.9287088059951545,0.9846947046382757,0.13535925667310977,0.9354129844570416,0.9983406242463502,0.0629276397893086,0.3657624681048661,0.9999999711557203,0.9300605351426736,0.8874734384981563,0.9627298445867425
