dataset,L,mean_energy,mean_fidelity,n
independent_seed,0,0.49828047277861515,0.05973564536260329,1000
independent_seed,1,0.49828047277861515,0.05973564536260329,1000
original,0,0.49977909532901704,0.06015396962388183,1000
original,1,0.49977909532901704,0.06015396962388183,1000
