completed_fits,lo,median,hi
100,0.003780889518606902,0.007690459297039301,0.011508169259156483
250,0.0034218491384799877,0.007841278805160922,0.011709398181501724
400,0.003233196117335838,0.007768173888855754,0.011895657278371056
1000,0.0036163433832819584,0.00781509620750103,0.011747770474084434
2000,0.0034020524731531968,0.007733240384771764,0.011922657345969182
