estimand,estimate,se,ci_lo,ci_hi,p_raw_descriptive,weight_D1,weight_D2,weight_D3,weight_D4,weight_D6
equal_depth,0.005997356348975042,0.0013033897386186344,0.0034427594034634437,0.008551953294486641,4.197552479495869e-06,0.2,0.2,0.2,0.2,0.2
observation_weighted,0.007725625337188287,0.0010861581155155286,0.005596794549261955,0.009854456125114618,1.1371208714943536e-12,0.0625,0.125,0.1875,0.25,0.375
parameter_weighted,0.007725625337188287,0.0010861581155155286,0.005596794549261955,0.009854456125114618,1.1371208714943536e-12,0.0625,0.125,0.1875,0.25,0.375
