contrast_id,contrast,estimate_asinh,se_asinh,ci_lo_asinh,ci_hi_asinh,difference_sinh_adjusted,delta_se,delta_ci_lo,delta_ci_hi
restricted_minus_baseline_L0,Pair-restricted minus baseline at global infidelity,0.0022968611086083813,0.0007645705303248883,0.000798330405530911,0.0037953918116858517,0.0022975378280441806,0.0007647961322645718,0.0007985649532900882,0.003796510702798273
restricted_minus_baseline_L1,Pair-restricted minus baseline at TFIM energy,0.006339657908264641,0.0007645705303248883,0.004841127205187171,0.007838188611342112,0.006346251315819507,0.0007653683172462601,0.00484615697910881,0.007846345652530203
difference_in_schedule_effects_H1,"Difference in schedule effects, H1",0.004042796799656259,0.0010812660133762467,0.0019235543557316113,0.0061620392435809065,0.004048713487775326,0.001081989722633646,0.001928052599770897,0.006169374375779755
