E,L,objective,cnot_schedule,mu_asinh,se_asinh,ci_lo_asinh,ci_hi_asinh,sinh_adjusted_mean,sinh_ci_lo,sinh_ci_hi
0,0,Global infidelity,Baseline,0.023116507349779044,0.0010348968362473183,0.021088146823019856,0.025144867876538232,0.023118566210679745,0.021089709875846886,0.025147517661023633
1,0,Global infidelity,Pair-restricted,0.025413368458387427,0.0010348968362473183,0.02338500793162824,0.027441728985146616,0.025416104038723925,0.023387139372007905,0.02744517327359101
0,1,TFIM energy,Baseline,0.04239703932664471,0.0010348968362473183,0.04036867879988552,0.0444253998534039,0.04240974197780985,0.04037964402985067,0.04444001440995822
1,1,TFIM energy,Pair-restricted,0.048736697234909365,0.0010348968362473183,0.046708336708150174,0.05076505776166856,0.048755993293629354,0.046725322247063245,0.05078686493443541
