hypothesis,coefficient,completed_bootstrap_iterations,percentile_ci_lo,bootstrap_median,percentile_ci_hi
H1,E_c:L_c,2000,0.0004734072169480898,0.004066696472716462,0.007534934562629804
H2,E_c:L_c,1000,-0.016239720360808858,0.01527985832693721,0.04599223007362217
H3,E_c:R_c,1000,-0.03137523076780777,-0.011418042885588727,0.009562515160802998
H4,L_c:R_c:depth_z,1000,-0.025964052587878452,-0.010425963897479133,0.005863030737205194
