hypothesis,historical_coefficient,historical_estimate,historical_standard_error,historical_p_unadjusted,corrected_coefficient,corrected_estimate,corrected_standard_error,corrected_ci_lo,corrected_ci_hi,corrected_wald_z,corrected_p_unadjusted,n_observations,n_initialization_clusters,optimizer,converged,singular_fit,historical_p_holm,historical_reject_after_holm,corrected_p_holm,corrected_reject_after_holm,family_decision_changed
H1,E:L,0.004345925498518687,0.001529141060649773,0.004482168916526817,E_c:L_c,0.004042796799656259,0.0010812660133762467,0.0019235543557316113,0.0061620392435809065,3.7389474464592207,0.00018479234956002435,25600,50,lbfgs,True,False,0.0134465067495805,True,0.0007391693982400974,True,False
H2,E:L,0.024995843985971582,0.007279011371641417,0.0005948289235313883,E_c:L_c,0.014338316406915418,0.0051448431772793575,0.004254609073341258,0.02442202374048958,2.786929729993764,0.005321001591502333,101891,50,lbfgs,True,False,0.0023793156941254,True,0.015963004774507,True,False
H3,E:R,-0.0009575787575784316,0.007292917086826747,0.895535958689219,E_c:R_c,-0.011615106336627561,0.005143677510109588,-0.021696529004531014,-0.0015336836687241083,-2.2581326908226202,0.023937388077418142,101891,50,lbfgs,True,False,0.8955359586892191,False,0.047874776154836284,True,True
H4,L:R:depth_z,-0.010178757716721849,0.005362074992735445,0.057658274111153505,L_c:R_c:depth_z,-0.01017875771671275,0.0053620749927248525,-0.02068823158485633,0.00033071615143083315,-1.8982870867197994,0.05765827411088321,101891,50,lbfgs,True,False,0.115316548222307,False,0.05765827411088321,False,False
