completed_bootstrap_fits,lower,median,upper
100,0.0011873600209471123,0.0041875146870739705,0.007746943478749178
250,0.0009063211627814824,0.004158831421396935,0.007518082478780334
400,0.0011898956392445523,0.0041724077221016575,0.007654793589215703
1000,0.0005382754931507987,0.004120149503329916,0.007327864256173859
2000,0.0004734072169480898,0.004066696472716462,0.007534934562629804
