hypothesis,coefficient_label,p_unadjusted,p_holm,reject_after_holm,family_wise_alpha
H1,eta_EL,3.7383239207100516e-05,0.00011214971762130155,True,0.05
H2,beta_EL,6.310285627364465e-12,2.524114250945786e-11,True,0.05
H3,beta_ER,0.047584011691517825,0.09516802338303565,False,0.05
H4,beta_LRd,0.16910514071555882,0.16910514071555882,False,0.05
