pair,M_0,M_A,M_B,M_AB,I_AB,I_AB_undefined_reason,G_0,G_A,G_B,G_AB,J_AB,J_AB_undefined_reason,interpretation
E_L,1.2660447531089223,1.287211196745176,1.8646619404621008,1.95874771758085,1.0331839376109853,,0.05008293368355604,0.04729270474367728,0.06448901750561815,0.07083562727538956,1.1632192784916497,,super-additive fold change
E_R,1.2660447531089223,1.287211196745176,1.202313182060901,1.2531749745520313,1.0251640162086215,,0.05008293368355604,0.04729270474367728,0.061386032989132665,0.05596113807980284,0.965411743547059,,super-additive fold change
L_R,1.2660447531089223,1.8646619404621008,1.202313182060901,1.7878113217443041,1.009608563724655,,0.05008293368355604,0.06448901750561815,0.061386032989132665,0.07398094732884263,0.9359536012389725,,super-additive fold change
