pair,M_0,M_A,M_B,M_AB,I_AB,I_AB_undefined_reason,G_0,G_A,G_B,G_AB,J_AB,J_AB_undefined_reason,interpretation
E_L,0.5046781871425636,0.6902018321061981,2.4029559290178146,1.8171171457669297,0.5529368665518255,,0.01421673646987387,0.025056343689835968,0.09706798422551864,0.08689992360532985,0.5079554208320695,,sub-additive fold change
E_R,0.5046781871425636,0.6902018321061981,0.6025381521325089,0.8965871744955201,1.0880438473123526,,0.01421673646987387,0.025056343689835968,0.01421673646987387,0.025056343689835968,1.0,,super-additive fold change
L_R,0.5046781871425636,2.4029559290178146,0.6025381521325089,1.8973703120286947,0.661357492914313,,0.01421673646987387,0.09706798422551864,0.01421673646987387,0.09706798422551864,1.0,,sub-additive fold change
