configuration_id,depth,budget,median_SNR_est,iqr_SNR_est,rms_SNR_est,fraction_SNR_est_geq_1,fraction_ci_excludes_zero,median_SNR_exact,median_absolute_bias,iqr_absolute_bias,sign_agreement_fraction,rms_exact_gradient_magnitude,exact_gradient_landscape_variance_across_inits,final_tfim_energy_mean,global_fidelity_mean,mean_entanglement_entropy,mean_purity,n_matched_observations,total_circuit_evaluations_mean
1,1,64,0.44721359549995787,0.23640364164899086,0.41812669368600364,0.0,0.0,0.10193059903135855,0.0019027609811465007,0.007978765461026036,0.16666666666666666,0.0037642558553437305,2.4256091124435375e-06,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,64.0
1,1,128,0.44721359549995787,0.2081678736330792,0.38996282632727924,0.0,0.0,0.14366407853423768,0.003125,0.008234359414894482,0.2916666666666667,0.0037642558553437305,2.4256091124435375e-06,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,128.0
1,2,64,0.4472135954999579,0.2226943298173515,0.4926380408160482,0.0,0.10416666666666667,0.06738732021162985,0.018202360944764465,0.022462779638526092,0.5625,0.017207224724182513,3.030436814830644e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,64.0
1,2,128,0.4472135954999579,0.240247018349511,0.559051561129712,0.05,0.16666666666666666,0.12305263048876383,0.01036892588785502,0.019792155749615188,0.6458333333333334,0.017207224724182513,3.030436814830644e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,128.0
2,1,64,0.5590169943749475,0.28308314784026356,0.6249567084573838,0.0625,0.16666666666666666,0.4968033174272403,0.011291480527688514,0.01958431754403481,0.7083333333333334,0.02121096848903968,0.0001965934274317476,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,64.0
2,1,128,0.7302967433402214,0.39524833685004784,0.7698049462342484,0.15,0.2916666666666667,0.7768398802365495,0.007694042956116737,0.007327589018823565,0.7083333333333334,0.02121096848903968,0.0001965934274317476,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,128.0
2,2,64,0.44721359549995787,0.45084246617282975,0.5610686593219381,0.09523809523809523,0.125,0.0755521991220185,0.013179179280999466,0.021873400184677094,0.6041666666666666,0.02677270898757272,0.00020944735342756556,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,64.0
2,2,128,0.6133441017252445,0.5618357505863953,0.7865702752183475,0.1951219512195122,0.3333333333333333,0.1815379355891491,0.009057469675975559,0.018277991171092047,0.625,0.02677270898757272,0.00020944735342756556,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,128.0
3,1,64,0.3982790999121728,0.8257654353884252,1.8978479976933187,0.25,0.3333333333333333,0.4034368882122169,0.030862987102250113,0.05271747252780834,0.6666666666666666,0.10046425483792913,0.0002002125689982517,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,64.0
3,1,128,0.7226507169045333,2.217636861034689,3.0902080484018892,0.4583333333333333,0.4583333333333333,0.6139838747913214,0.01383163535185997,0.025660419940128923,0.7916666666666666,0.10046425483792913,0.0002002125689982517,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,128.0
3,2,64,0.5453360097207406,0.8200279278920923,2.855796490865055,0.2708333333333333,0.3333333333333333,0.5325236395673838,0.0448566874318338,0.06220298953136838,0.7291666666666666,0.09532448317372677,1.4938174082509914e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,64.0
3,2,128,0.7524896225545834,1.080127777096473,1.6097861941233902,0.4166666666666667,0.5208333333333334,0.6829057081006715,0.02427721348800739,0.026326890377708,0.8333333333333334,0.09532448317372677,1.4938174082509914e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,128.0
4,1,64,0.4472135954999579,0.4912510214733427,0.5828229059350187,0.1111111111111111,0.041666666666666664,0.10858571869431533,0.0016190181215755273,0.015551703677954776,0.08333333333333333,0.0037642558553437305,2.4256091124435375e-06,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,64.0
4,1,128,0.44721359549995787,0.20816787363307915,0.8487714182351573,0.09090909090909091,0.041666666666666664,0.14366407853423768,0.0019577241352498496,0.004704090504319806,0.375,0.0037642558553437305,2.4256091124435375e-06,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,128.0
4,2,64,0.44721359549995787,0.3436606257491621,0.44836839698702535,0.0,0.041666666666666664,0.08764946291343109,0.01565684425357915,0.019639744756187162,0.5,0.017207224724182513,3.030436814830644e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,64.0
4,2,128,0.4472135954999579,0.49125102147334265,0.6515461450703004,0.13513513513513514,0.20833333333333334,0.13732241007062998,0.00998178355008546,0.013566187707644247,0.6041666666666666,0.017207224724182513,3.030436814830644e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,128.0
5,1,64,0.9875065499073763,0.7944742793828832,2.185593285922975,0.5,0.5416666666666666,1.2139948889904797,0.018135278596641605,0.03271397319918396,1.0,0.1014866708665594,0.0004228392794385762,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,64.0
5,1,128,1.6538976573875541,1.4729170029067533,2.7568308328025473,0.6666666666666666,0.6666666666666666,1.597570899730171,0.02036035820701844,0.022119698923586114,1.0,0.1014866708665594,0.0004228392794385762,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,128.0
5,2,64,0.6565476306466382,0.555467233975421,0.8597318434708464,0.22916666666666666,0.3958333333333333,0.4402363845776798,0.042660639957923456,0.03233865838447355,0.8333333333333334,0.07859785558225853,0.0005966958703100771,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,64.0
5,2,128,0.9585171161929846,1.454841717113187,1.72572830873272,0.4375,0.5833333333333334,0.6736100051851328,0.017850987353042247,0.03047705628588628,0.7291666666666666,0.07859785558225853,0.0005966958703100771,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,128.0
6,1,64,0.7302967433402214,0.5786004057389658,0.8980578692422534,0.26666666666666666,0.20833333333333334,0.6038551717278642,0.010132600318959595,0.014529499426663504,0.625,0.02121096848903968,0.0001965934274317476,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,64.0
6,1,128,0.7302967433402214,0.966999966873137,1.4205965860392122,0.38095238095238093,0.4166666666666667,0.83965984482029,0.004632169386861017,0.01283794234330136,0.75,0.02121096848903968,0.0001965934274317476,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,128.0
6,2,64,0.4472135954999579,0.3406267604219193,0.5393321854047293,0.06060606060606061,0.10416666666666667,0.03404363097516022,0.013975414119413424,0.019658094533040932,0.3958333333333333,0.02677270898757272,0.00020944735342756556,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,64.0
6,2,128,0.4448436075643631,0.3760974711230594,0.767219859003281,0.1,0.14583333333333334,0.19428318835684988,0.009618759314418003,0.013316146736907498,0.5833333333333334,0.02677270898757272,0.00020944735342756556,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,128.0
7,1,64,0.8798259012547828,1.7525475667700636,2.1697853982075994,0.4166666666666667,0.5833333333333334,0.44371066163908945,0.017513951195637242,0.03662683481952136,0.875,0.10046425483792913,0.0002002125689982517,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,64.0
7,1,128,1.0954451150103326,1.5477666523182656,2.579141498210258,0.5416666666666666,0.5833333333333334,0.5729601885624478,0.018019207397896492,0.020206876693710015,0.875,0.10046425483792913,0.0002002125689982517,1.1976174572424692,0.0007542578932420515,0.8495106152618463,0.6225949695229236,24,128.0
7,2,64,0.44773722797727095,0.667152923078869,1.6594681389095287,0.20833333333333334,0.3125,0.34847325529123346,0.05285237981606456,0.0549995074549373,0.6666666666666666,0.09532448317372677,1.4938174082509914e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,64.0
7,2,128,0.6215928539053905,1.3762407181514333,1.5382581148218142,0.3958333333333333,0.4375,0.6651870424993487,0.022382569067295112,0.03350253112349573,0.8125,0.09532448317372677,1.4938174082509914e-05,-0.35255514359221124,0.005378552190491347,0.8238452178409404,0.6326785126941238,48,128.0
8,1,64,1.0183218438267627,1.1911098807240226,2.1101338973504116,0.5416666666666666,0.6666666666666666,1.078809396025723,0.02382521679454648,0.02815841198534239,0.9166666666666666,0.1014866708665594,0.0004228392794385762,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,64.0
8,1,128,2.013507382480731,2.0457140077125944,3.2152250656137773,0.7083333333333334,0.75,1.6318523082125835,0.02326651913738535,0.017746830495987836,0.9166666666666666,0.1014866708665594,0.0004228392794385762,0.5511173728140858,0.013304492256973048,0.39685299341451574,0.8474823089484955,24,128.0
8,2,64,0.5470682546140038,0.849401069978049,1.3285108321822383,0.3125,0.4375,0.4394398539711254,0.029005316394001845,0.03765255658911644,0.8541666666666666,0.07859785558225853,0.0005966958703100771,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,64.0
8,2,128,0.4288434055986905,0.8304026865037157,1.4986381779828424,0.2916666666666667,0.375,0.6100957274497769,0.021979107209302046,0.025000830062618207,0.75,0.07859785558225853,0.0005966958703100771,0.08150783390953757,0.02581557963391443,0.08433018171832248,0.9767018587363044,48,128.0
