contrast,iterations,median,ci_lo,ci_hi
ER_L0,1000,-0.0012697831941435819,-0.02911717369417368,0.024560352869079552
ER_L1,1000,-0.02107369150489875,-0.049489904568354545,0.0071966348606313174
ER_L_average,1000,-0.011418042885588727,-0.03137523076780777,0.009562515160802998
