depth,estimate,se,ci_lo,ci_hi,n_obs
1,0.006642263883422041,0.02072117930963816,-0.03397050128066418,0.04725502904750826,6235
2,0.0006957454205057285,0.014507481169991157,-0.02773839517906916,0.02912988602008062,12716
3,-0.02649199013202038,0.011830451808380826,-0.04967924959728291,-0.0033047306667578456,19121
4,-0.011553365918854003,0.010240420622570568,-0.031624221525633,0.008517489687924998,25521
6,-0.0112554609924304,0.008359092453385607,-0.0276389811445063,0.005128059159645499,38298
