contrast,estimate,se,ci_lo,ci_hi,p_raw,linear_contrast
full_end_to_end_L0,-0.0009575787575787573,0.0072929170868231055,-0.015251433589988421,0.013336276074830906,0.8955359586891318,"{'E_c:R_c': 1.0, 'E_c:L_c:R_c': -0.5}"
full_end_to_end_L1,-0.022272633915674897,0.0072555519209130176,-0.036493254368624425,-0.008052013462725367,0.0021424756874968954,"{'E_c:R_c': 1.0, 'E_c:L_c:R_c': 0.5}"
full_end_to_end_L_average,-0.011615106336626827,0.005143677510117177,-0.021696529004544877,-0.0015336836687087785,0.023937388077634673,{'E_c:R_c': 1.0}
active_Dge3_L0,-0.002126345499002053,0.007004913753310684,-0.015855724170299908,0.011603033172295803,0.7614703218389391,"{'E_c:R_c': 1.0, 'E_c:L_c:R_c': -0.5}"
active_Dge3_L1,-0.02744897594470735,0.006982165552316853,-0.04113376896134422,-0.013764182928070481,8.44883435810458e-05,"{'E_c:R_c': 1.0, 'E_c:L_c:R_c': 0.5}"
active_Dge3_L_average,-0.014787660721854702,0.004945185853213236,-0.024480046891009355,-0.005095274552700049,0.002786903879269135,{'E_c:R_c': 1.0}
conditional_mode_L0,0.006883881471655922,0.008516148751339008,-0.009807463367953824,0.02357522631126567,0.4188990858317294,"{'E_c:R_c': 1.0, 'E_c:L_c:R_c': -0.5}"
conditional_mode_L1,0.007072154772663616,0.008400254525463044,-0.0093920415582131,0.023536351103540333,0.399845230643769,"{'E_c:R_c': 1.0, 'E_c:L_c:R_c': 0.5}"
conditional_mode_L_average,0.006978018122159769,0.005980992092610876,-0.004744510971176076,0.018700547215495612,0.2433319043481642,{'E_c:R_c': 1.0}
