depth,estimate,se_cluster,ci_lo,ci_hi,p
1,0.008481715651109547,0.007681930582974335,-0.006574591623256515,0.02353802292547561,0.2695443356005637
2,0.000751085315959384,0.005394657092310495,-0.009822248293912464,0.011324418925831232,0.8892702763785589
3,-0.026554097791659362,0.02992355147787481,-0.08520318097782267,0.03209498539450396,0.3748646948379486
4,-0.012127101587441552,0.02727019941131605,-0.06557571028484492,0.04132150710996181,0.6565354055571843
6,-0.011791921530447877,0.015876209470136016,-0.04290872030292735,0.019324877242031593,0.457638126938232
