excluded_initialization_id,status,ER_average,ER_average_se,ER_average_p,ER_L0,ER_L0_se,ER_L1,ER_L1_se
0,completed,-0.012536777509149525,0.005187512334303804,0.015660953694983788,-0.000756401828394284,0.007354880068280244,-0.024317153189904767,0.0073175730987418515
1,completed,-0.010000983437867083,0.005174048280497252,0.05324695772256068,0.0025707477488125397,0.007336142039964318,-0.022572714624546707,0.00729822734676952
2,completed,-0.012637347047019337,0.0052030629275769446,0.015147699544434453,-0.003073611746538642,0.007377352913287223,-0.022201082347500033,0.007339081639150418
3,completed,-0.01095806472429177,0.0051947304542766005,0.03490508409876655,0.0011330569244034795,0.00736557741682513,-0.023049186372987022,0.007327289218197325
4,completed,-0.014432579159002921,0.005190967959945527,0.005430448248594227,-0.003331020067809873,0.007359832092242255,-0.02553413825019597,0.007322394759825851
5,completed,-0.013832800058075257,0.005190594902838986,0.00769942930367032,-0.0043068437519436335,0.0073594109538481075,-0.02335875636420688,0.007321760184128726
6,completed,-0.010070741274728637,0.00518739453766519,0.05221133161154581,0.0020420438016700796,0.007355099687658161,-0.02218352635112735,0.0073170183095442225
7,completed,-0.010374731512846676,0.0051886670033888665,0.04555445186287683,-0.002629438855857723,0.007356377134219038,-0.01812002416983563,0.007319342630821766
8,completed,-0.013794361072890214,0.005202650344469909,0.008015638477382235,-0.004752272961773911,0.0073766912145383666,-0.02283644918400652,0.00733857677977167
9,completed,-0.010255012277466512,0.005192717076121827,0.0482813483392165,0.0006724995141696617,0.007362759668974869,-0.021182524069102687,0.007324412098421685
10,completed,-0.010291021767050804,0.005201401818574407,0.047871282739485085,-0.003052190920562965,0.007375112048293629,-0.017529852613538642,0.007336623595918679
11,completed,-0.013677575862866864,0.005197428131855618,0.008498269865503253,-0.0008689995540622653,0.00736932197127741,-0.02648615217167146,0.007331175241860254
12,completed,-0.011444703319311902,0.00520050776845702,0.027758006132029143,-0.00041261093664188633,0.007373572123858473,-0.022476795701981918,0.007335636191455007
13,completed,-0.01107788090386982,0.005184688415134649,0.032626212109282036,-3.227091320830329e-05,0.007351299899211816,-0.022123490894531334,0.007313163859778757
14,completed,-0.010531371471440745,0.005187363144059812,0.0423364720838567,0.0016881582033032774,0.0073537008882929395,-0.02275090114618477,0.007318335111138328
15,completed,-0.010974879839899535,0.005191352216903031,0.034509324269495226,-0.002006606248021056,0.0073608997395215,-0.019943153431778014,0.007322411241147848
16,completed,-0.011635562863124917,0.005188936396958518,0.02493687723021017,-0.003229225283613895,0.00735731789426358,-0.02004190044263594,0.00731916095802465
17,completed,-0.011161734874733405,0.005188999139060465,0.03147319217631831,0.0009243542250332373,0.007357378712020993,-0.023247823974500047,0.007319277747741325
18,completed,-0.011959411257503721,0.005187103056212584,0.02113270809335322,-0.00202877327123086,0.007354463199215527,-0.021890049243776584,0.00731683152153063
19,completed,-0.008926574935983228,0.005206126097454824,0.08641326298515593,0.0012274650033951822,0.0073812381670123614,-0.01908061487536164,0.007343862668394664
20,completed,-0.01034685466093599,0.005199986072137184,0.04661461656103511,-0.0008660748787273145,0.007372755907720134,-0.019827634443144667,0.00733497722742618
21,completed,-0.009896086093666729,0.005198230247881552,0.05694387266661984,0.0018808915388592012,0.007370652056010947,-0.02167306372619266,0.007332112868006357
